,No.,Tweet,Label,Words,Notes,Contributor
455,456.0,THIS Sunday Apr 29 is the last INDOOR #farmersmarket before we take the party outside for the season! check out @JeffParkMarket for more details. meanwhile tell us what flavors you'd like us to bring?! https://t.co/xdvmGQYFeN,environment,"indoor, outside",,
456,457.0,Come out and see Nathan Taylor playing music during this weeks Farmers Market😃,environment,"playing, music",,
457,458.0,"Find #Engage109 Board Members, Supt @mcconnellaw & Coord. of Comm. @cateked at the Deerfield Farmers Market this Saturday (7/21) from 8:30-11:30am. See you there! https://t.co/4jGBAqf4CW",Business,,Business,
458,459.0,Want to hit up a farmers market this weekend? Here’s a look at some of what you’ll find at neighborhood farm stands:  https://t.co/819XfsU74J,Business,,Business,
459,460.0,TFW you learn that your school's urban garden is open for harvest and there's a bag with your name on on it! #urbanagriculture #thecreativeimpostor #farmersmarket #chicagopublicschools… https://t.co/MSnMxSRsDC,convenience,,,
460,461.0,"Notification: Cape Farmers' Market @ Thu Apr 26, 2018 12pm - 5pm (CDT) (capegirardeaucalendar@gmail.com) CST/GMT #SEMO https://t.co/xDTo10UpZm",Business,,Business,
461,462.0,"I will be opening the Farmers Market this Thursday, 
5-7, at the Illinois Fairgrounds at the Lincoln stage. 
@EdClarkPiano https://t.co/7ku61VU20s",Business,,Business,
462,463.0,Come out and see us tomorrow at the Halloween Farmers Market! We will be on the east side of 4th Street in costume and giving out tons of free books. 🤡👻👽🎃#Halloween #lolbookshare #freebooks,Business,,Business,
464,465.0,2018 Grayslake Farmers Market: https://t.co/ezPtdqYwLV via @YouTube,Business,,Business,
465,466.0,"Harvest season is in full swing at the #OakPark Farmers' Market. Plums, nectarines, peaches, pears, grapes, apples and cider are just some of the seasonal favorites now available. This week the Market will feature an activity for kids. More info is at https://t.co/rMC0NhL447. https://t.co/reLwzUedXi",environment,"activity, favorites, kids",,
466,467.0,"While you're out and about at the @MainStreetLvill Farmers Market, stop by to our Lucy Booth for some good beach-read recommendations! ""Lucy"" is in for the morning! https://t.co/pxxhuUg1Tt",Business,,Business,
467,468.0,remember when there was a nazi handin out pamplets at the logan square farmers market and i was in the background of the pic https://t.co/bhX4kq4QuV,environment,"nazi, background",,
469,470.0,Today we cut the ribbon the the annual Hyde Park Farmers Market. The farmers market will take place every Thursday from 7am-1pm. Support our local farmers and enjoy the unique fresh products the market has to offer! #4thwardstrong https://t.co/g7QGFEY1nr,quality,"unique, fresh",,
473,474.0,@bryanbinaxas The farmers market near my house charges 6 dollars for a pint of strawberries. What's pictured would easily run 30 dollars,economics,"dollars, charges",,
478,479.0,"Pretty As A Peach! Want to use those great farmers market peaches?

2 oz vodka
1oz Amaro Cinpatrazzo 
1/2 oz Peche Liqueur 
1/2 peach - peeled and blended
3oz lime/mint/elderflower… https://t.co/0gLqCRgZxc",quality,"pretty,, great",,
479,480.0,"Prolonged cold may affect crops, farmer’s markets in Rock River Valley https://t.co/NrsbfzybJQ",quality,affect,,
480,481.0,Nonprofit offers temporary fix for SNAP shutdown at farmers markets https://t.co/eFSMcv2pD8,economics,Nonprofit,,
485,486.0,"Varieties Music Team has a show on 09/15/2018 at 09:30 AM @ Elk Grove Farmers Market in Elk Grove Village, IL https://t.co/0I48js5zQJ #concert https://t.co/mazrUVwVeB",Business,music,Business,
486,487.0,"Last Farmer's Market of the summer.
.
.
#farmersmarket #sheriffshouse #woodstock #coolbuildings #buildingphotography #buildingphoto #architecture #architecturephotography #architecturenerd… https://t.co/HkVXtKWUfi",Business,,Business,
488,489.0,"The Loyola Farmers Market now is open!
Loyola Farmers Market is not only an opportunity to purchase fresh, healthy an locally grown products but also support the direct result of Loyola's students project efforts. 
Check this spot... https://t.co/qfBdENiEn3",Business,"locally, fresh",Business,
491,492.0,Hanging out at the #farmersmarket at Daley Plaza for @StJamesChicago  Summer In The City camp 🌻  #iamstjames #volunteers https://t.co/j3lZ8TNBSW,environment,hanging out,,
493,494.0,"Friday afternoon Cruise In Saturday morning Farmers Market 
Is it the weekend yet....?
#weekend #activities #enjoy #familyfun",environment,"fun, activities, enjoy, weekend",,
494,495.0,"Book reading at the farmers market 
@idisposable11 
#bookmobile #kindergarten #aurorapubliclibrary @ Aurora Farmers Market https://t.co/PpxFFfX5Vc",environment,Book reading,,
495,496.0,@schefferwill Lettuce sold out from our hydro and aquaponic  growers at the local farmers market Saturday. We are a producers market. No re-selling allowed.,quality,"growers, producers market",availability,
496,497.0,Shop at your local farmers market to to be #healthy with fresher veggies - https://t.co/rSo4RFqyX6 https://t.co/YS3Z5yc12r,quality,"healthy, fresher",,
500,501.0,A little rain won’t stop me from hitting up the farmers market #rarephoto https://t.co/ExpHv82Q7D,convenience,rain,environment,
501,502.0,Park Ridge aldermen hear proposal for alcohol 'sampling' at Farmers Market https://t.co/D5VqaWh10e,environment,sampling,,
503,504.0,"Did you know we are only days away from the first @downtownelgin Farmers' Market? The market will take place every Friday from 3:00 PM - 7:00 PM on Grove Avenue in #ElginIL. #ExploreElgin

https://t.co/rHLeRnT0g9 https://t.co/h6qk7InLlA",Business,,Business,
504,505.0,"Open every Saturday now through October 27, the Aurora Farmers Market is a fun destination in Illinois for a peaceful time! https://t.co/C6qfcZpxbz",environment,"fun, peaceful",,
505,506.0,"if you're out and about in Metropolis this morning be sure to get out and visit the Farmers Market! 

it's located at the EZ Portable Buildings Metropolis, IL lot ... between McDonald's and Fort Massac State Park.. https://t.co/r9mFicaBRA",Business,,Business,
506,507.0,"HOW PROXIMITY MARKETING CAN HELP YOUR BUSINESS AT FARMERS MARKETS, CRAFT FAIRS AND FESTIVALS #askdrmemo #mobilemarketing #craftfair @askdrmemo https://t.co/uoGVvWRptm",Business,,Business,
507,508.0,"In honor of the Illinois Farmers Market Association's upcoming Summer Feast fundraiser gala at bleuroot restaurant, we have an excellent tomato and peach panzanella salad recipe from owner and chef Maria... https://t.co/5IgrUSEiF5",Business,,Business,
508,509.0,"Green City Market Lincoln Park outdoor season operates May - October every Wednesday and Saturday from 7am to 1pm! Make sure to stop by your local famers market! #SummerTime #FreshFood #Farmersmarket #LincolnPark

https://t.co/LzN1EcvzRI",Business,,Business,
509,510.0,"Check out the top events for the week in the McKinley Park neighborhood!
https://t.co/wxzHtPRAv2",environment,events,,
512,513.0,Choose your local farmers market to enjoy richer and more nutritious produce - https://t.co/YeKDgrXHCW https://t.co/1Ticw1Zm86,quality,"richer, nutritious",,
514,515.0,"Meet us in Hyde Park for the 15th Annual #SoundSystemBlockPark ✨ It's the place to be for any and everybody this Saturday. Don't be the one who missed out 😉
.
.
.
.
.
.
#smteas #tea #chicagotea #farmersmarket... https://t.co/Bj1fEf7sSm",Business,,Business,
515,516.0,"@lorcanD Yes, whole wheat sourdough from farmers market, which warrants real butter.",quality,real,availability,
518,519.0,"Nido will have a booth tomorrow as part of the Artisan Collective at Batavia’s Farmers Market.  Head on over to River Street in downtown Batavia, Saturday 8am-12pm.
✨
I’ll be selling my new healing bracelets,... https://t.co/sJBVwKE48w",Business,,Business,
519,520.0,Happy Indigenous Nations Day 🙄🌈🇲🇽🔥 @ Logan Square Farmers Market https://t.co/HyPMWyuplg,Business,,Business,
520,521.0,Come visit our booth and visit with our cadets!  Downtown Farmers market today until noon!,Business,,Business,
522,523.0,"Jeremy and I woke up at 7 am and went to the Urbana Farmers Market. Who even are we?? 😂
Tomatos for days!! 
#urbanafarmersmarket #urbana #illini #tomatoes #freshproduce #peachestoo… https://t.co/zcfdoqDN4U",availability,tomatos,,
523,524.0,You've seen the glorious melting wheel of cheese.... now prepare for some of the best hand-cranked sausage you'll find around the city. Got any guesses? Find out next when our #FarmersMarket episode continues on @WGNTV #ChicagosBest #raclette https://t.co/1DR5TYl1jC,Business,"best, glorious",Business,
524,525.0,"Great haul at the farmers market today. Plus, elotes and tamale. https://t.co/PVwMfmuzWD",availability,"elotes, tamale",,
525,526.0,"Come see us at the Wauconda Farmers Market Thursday, August 9 from 3-7 pm. We will have some merchandise to sell and some interesting objects to check out. See what we are up to! (Photo: Back of the Cook House in 1950) #wauconda #farmersmarket #letsgolakecounty #FarmLife https://t.co/9q625KGFhr",Business,,Business,
526,527.0,Ravinia Farmers Market Opens June 6 https://t.co/BpLGHxIaJX,Business,,Business,
527,528.0,Upcoming Event: Hinsdale Farmers Market 2018 Season - 10/1/2018  https://t.co/IH79ak2Hcn,Business,,Business,
529,530.0,"These are in total, all the things that are at a farmers market: vegetables, fruit, honey, flowers, and maybe if you’re lucky someone will be like selling some lotion",availability,"all, at, vegetables, fruits, selling",,
530,531.0,"@StudMuffinSays @Starrcast18 Hey, I live in the Midwest! All our #Wrestling takes place in barns and farmers markets!",environment,"in, wrestling",,
532,533.0,"Anyone wanting to know how to become a vendor at our farmers market at Hannibal Central Park Farmers' Market, here is a link. https://t.co/yIQrmmHo5F",Business,,Business,
533,534.0,"Only a few weeks left to enjoy the Hyde Park #FarmersMarket @HarperCourt. Find apples, pumpkins, mums & more! Open until 1pm today #HydeParkChicago https://t.co/Lzk6qAVaf7",Business,"apples, find, pumpkin",Business,
534,535.0,"Looks like, smells like, tastes like summer🍍☀️😋 Try TROPICAL TANGO at the Farmers Markets in Mt Prospect 8/5, Wicker Park 8/12 and in Park Ridge on 8/18 #guiltlessguac #vegan #vegetarian… https://t.co/qobNOMMHGE",Business,,Business,
535,536.0,Have some Farmers Market’s coming up? What if you could message every phone within 200 yards? https://t.co/AtbJMpaH0y #advertising #fairs #farmer #farmers #farmersmarkets #localbusiness #market #marketing #organic #proximity #proximitymarketing #specials #store #localfood https://t.co/v2mQPvGqHb,convenience,proximity,,
536,537.0,"@lexintheA I look at every single store in Chicago. Chain grocery stores, independent grocers, farmers market... it’s like they don’t exist here. I honestly didn’t think we had them anywhere up north till I saw them this weekend in northern MI! 😭",availability,have,,
537,538.0,5 events in @ourwickerpark Sunday @mrdavemusic @wickerparksings #farmersmarket @HawkeyChiTown @WickerParkComm @peacelovegoat @ward32chicago @Alderman_Moreno @WPBCC @WeAreWPB @ChicagoParks @MayorEmanuel @The606Chicago @TheRobeyGH @ChicagoCAPS14 https://t.co/qaw8I7KKu2 https://t.co/OR8x2d4mBJ,environment,events,,
538,539.0,"It’s no surprise that private well owners, in general, are hard to reach. This is because they can come from every social, economic, and educational demographic. https://t.co/ZWwsyCWqOK

Alyson McCann at @URIWater shares how she reaches well owners with her private well program.",convenience,reach,,
539,540.0,Heading to the farmers market where I know I’ll get some sort of baked good so I put a fork in my purse. I am Joey.,availability,get some,,
540,541.0,Rain or shine we are doing this @LandConnection Champaign Farmers Market @21stShow at 5 pm! Please come join us (we’ve moved inside next to the market) https://t.co/cZ65PlEavt,Business,,Business,
541,542.0,"Presto Pesto has THE best Gluten Free options around! Stop by the Farmers Markets this weekend and let us let you taste the Gluten Free Goodness!!
Saturday: Venice Farmers Market at Avenue Des... https://t.co/cHK3LoRQ19",quality,Gluten Free,,
543,544.0,"@Bratts29 Been held on Fridays since 1982. We considered moving days but many of our vendors who participate could not change days. If you can't make it to @SchaumburgIL Farmers Market, check out weekend markets nearby at https://t.co/PLnKZ8WhgU",Business,,Business,
545,546.0,Legal Fight Continues for Farmer Banned from Market Over Objecting to Gay Weddings at His Orchard  https://t.co/voQj4uibpV,politics,gay,,
547,548.0,"One of the events that makes summer and fall in Oak Park so delightful is the Oak Park Farmers' Market. Come stock up on fresh local veggies, cheeses, honey, and more. https://t.co/h30nSwmQOx",quality,"fresh, local",,
549,550.0,Every Sunday starting June 10th! Enjoy the fabulous Farmer's market opening at 7:30am in @Downtownskokie #SkokieIL https://t.co/OUVd11uNpA https://t.co/RMM7OYcXtn,Business,,Business,
550,551.0,I only miss Woodstock for the farmers market and $5 sunflower bouquets🌻🌞,economics,$,,
552,553.0,"During a hard day of garage sale visits, stop by the MG Farmers' Market for breakfast, lunch or some fresh fruit or baked goods on Saturday from 8am to 1pm. https://t.co/9o3NzhHyXK",Business,,Business,
553,554.0,You know what’s happening today? @imancentral Fresh Beats & Eats Farmers Market today 2pm to 6pm. Make sure you come by.,Business,,Business,
554,555.0,@suttondancer @ElisCheesecake @TasteofChi @WaitressMusical @ChooseChicago The Farmers Market is every Thursday! Make sure to follow @ElisCheesecake social media to stay up to date on events 😀,Business,,Business,
556,557.0,"Have you made a visit to the DeKalb Farmers Market yet this year? Head down to the Van Buer Plaza this Thursday from 10am - 2pm! https://t.co/AZBZwLJ1uR 

#DeKalbCounty #FarmersMarket",Business,,Business,
561,562.0,Outdoor #yoga w/Dr.A* 🕉 On Saturdays at 11:30am - Join us!! Sun Salutation🌞 xoxo — at 61st Street Farmers Market https://t.co/ZwSPAHyPn5,environment,"outdoor, yoga",,
562,563.0,"Street Food views from @tasteofthephilippines! Catch us devouring Lumpia’s from the #LumpiaLady today. 🙌 #LikeFoodChicago
📸: @likefoodchicago
📍: @tasteofthephilippines
🌁: Daley Plaza Farmers Market https://t.co/ACB9nSBjCh https://t.co/FiQISo9scO",environment,"views, street food",,
563,564.0,"Why you should support your local farmers market #1:
Farmers markets grant you the opportunity to get a taste of REAL FLAVOR. Fruits are allowed to become fully ripe, and are brought straight from the field to the you. You're always guaranteed to get the best there is to offer! https://t.co/5j2SMzApBS",quality,"REAL, ripe",,
564,565.0,"Enjoy fresh fruit, vegetables, and flowers at the weekly Farmers Market this Saturday, October 6 from 7:30 a.m. – 12:30 p.m. Listen to live music by Tim McCarthy while you shop! #TinleyLifeAmplified https://t.co/u9f5xvVl4t",quality,fresh,,
566,567.0,Join us Saturday for what should be a beautiful Fall day at the Downtown Bloomington Farmers' Market. Check out our newsletter to find out what is doing on at the Market. https://t.co/xYBogFmUSv https://t.co/xYBogFmUSv,environment,"beautiful, fall",,
567,568.0,"Learn more about Ed Clark Music Services's upcoming shows.

Illinois Products Farmers' Market 5-7
June 7
July 26
Aug. 30 
Oct. 11
 
Robbie’s 
Ed Clark Trio 
June 8, 5:30-7:30

https://t.co/yYcuuxcuxb
@EdClarkPiano https://t.co/9hqlObacM3",environment,"music, shows",,
568,569.0,"Come out to @towergrovefarmersmarket tomorrow, Saturday, June 23rd.  We will be at Tower Grove Park in St. Louis from 8 to 12:30.   Great Steak and Ground Beef Specials Available Saturday!  #Farmersmarket #familyfun https://t.co/158Y2nRE3d",Business,,Business,
570,571.0,Upcoming Event: Huntley Farmers Market - 7/28/2018  https://t.co/1bTFV38KOT,environment,event,,
572,573.0,Choose your local #FarmersMarket to boost your local economy - https://t.co/Hd6QDElfMY https://t.co/mRFcpPPk2O,economics,economy,,
573,574.0,"HOW PROXIMITY MARKETING CAN HELP YOUR BUSINESS AT FARMERS MARKETS, CRAFT FAIRS AND FESTIVALS #askdrmemo #mobilemarketing #craftfair @drmemogamboa https://t.co/GQmbCGBaKi",convenience,proximity,,
580,581.0,"Looking for something to do this weekend? Take your family to a local farmers market and meet the folks growing your produce:

https://t.co/L193lqvvji https://t.co/xB28DQZslY",environment,meet,,
583,584.0,FYI! The @UChicagoMed Farm Fresh Friday Farmers Market will be in Goldblatt Pavilion Lobby today (850 E 59th St.) from 10:00 AM - 2:00 PM. #farmfreshfridays #farmersmarket https://t.co/Suc9J81kKT,environment,,,
585,586.0,"Thanks to @ILStewards: ""As farmers markets open for the season across Illinois, vendors will find it easier to do business thanks to recent changes for cottage food  and related laws."" via @AgNews https://t.co/5IlkHGb15v",economics,business,,
586,587.0,#FitnessTip: Take advantage of your local #FarmersMarket to get healthier fruits and veggies. https://t.co/HZc4q5vbOP https://t.co/crlJHXtE9J,quality,healthier,,
587,588.0,Bobby marketstall is handing out surplus bushels. Grab one now! https://t.co/f7ixTLrcci,availability,surplus,,
590,591.0,"This week's lineup!

Today/Wednesday 3-7 pm Farmers Market at St. John's - Naperville, Illinois

Thursday 3-7 pm #95thStreetFarmersMarket @ Naperville Public Library's 95th Street Branch

Friday 6-10 pm Eric In The... https://t.co/7exhhfCz9Z",environment,lineup,,
591,592.0,"It’s National Farmers Market Week! Put your money where your market is and pick up the cream of the crop in Alton, Jerseyville, Wood River and Brighton.
•
•
•
•
•
•
#VisitAlton #ExploreGreatRivers #NationalFarmersMarketWeek #FarmersMarkets #FarmersMarket #EnjoyIllinois #… https://t.co/Wpg4TggzgA",quality,cream of crop,,
594,595.0,"Tamales Express, a Riverside Farmers Market vendor is hiring for market season. Anyone want to make some extra cash? https://t.co/NabK5GJZDu",economics,"hiring, cash",,
596,597.0,"Fun for all ages is planned at the #OakPark Farmers' Market this Saturday. @chicagobotanic will be on hand to host an activity for kids, and a chef from @AutreMondeCafe is slated to host a cooking demonstration from 9-11 am. Find complete Market details at https://t.co/pEEz7l023M https://t.co/7M6R5QrJ3y",environment,fun,,
597,598.0,Fall Fun at the Skokie Farmers’ Market https://t.co/dgs1QzH0kU,environment,fun,,
600,601.0,#preppersproduce #preppingainteasy #gardening #vegetarian #vegan #farmersmarket #urbanfarming hidden fruits @ Preppers Produce https://t.co/SNzmneicGD,availability,hidden fruits,,
601,602.0,SNAP shoppers can get up to $40 extra to spend on fresh produce this week at the Champaign Farmers Market! We’re open Tuesday from 3:30-6:30 in the parking lot by Neil & Main in Downtown Champaign. Let’s make this a great October for our local farmers! https://t.co/gJM6rb04OY https://t.co/ycCu2grYYG,economics,"SNAP, $",,
608,609.0,This Wednesday marks the final Rantoul Farmers Market of the season! Grab ingredients and much more from 4-7! #VisitChampaign #OutsideofOrdinary https://t.co/AdSeCtSsnv https://t.co/eaq4MoWAzR,Business,,Business,
609,610.0,"Let Presto Pesto help you out this summer with some delicious Gluten Free recipes! Stop by this weekend and let us help!
Saturday: Venice Farmers Market at Avenue Des Parques, Venice, FL 8am- Noon
Sunday: History Park Farmers Market, 501 Shreve Street, Punta Gorda, FL 9am-1pm https://t.co/DIcxXL7PkL",Business,,Business,
610,611.0,There's farmers markets happening every day of the week in #Chicago and the suburbs! Check out the guide: https://t.co/OoyxnIrJOJ #ChicagoBestBets https://t.co/SQuzPVZeNP,Business,,Business,
612,613.0,"This time of year, there are countless types of fun fruits and vegetables available at your local farmers market. How can you keep it fresh (literally!) & utilize your produce purchases in  a creative way? Try out... https://t.co/ETJTcHToES",Business,,Business,
613,614.0,WSSRA has been chosen for the Fresh Thyme Giving Bag Program for July! @ Fresh Thyme Farmers Markets https://t.co/MgnLacLixE,Business,,Business,
615,616.0,"Beet salad with mixed greens, fresh herbs, white balsamic vinaigrette, @rothcheese Butterkase cheese. #shoplocal #midwest #midwestchef #beets #salad #farmersmarket https://t.co/FiS88PrLxL",Business,,Business,
620,621.0,How you know it’s summer in Chicago. The @avillechamber Farmers Market in full bloom. https://t.co/nqxLXcZoOv,environment,bloom,,
622,623.0,"Mainstays Farmers Market  Caledon Bowls w/ Lids

Just $4.99! https://t.co/BZpe2aAuQa

(Reg. $15.97 - Lowest Price!) https://t.co/wepUqIjDrT",economics,$,,
623,624.0,Stock the frig with freshness from Downtown Skokie's Farmers Market— Open Sunday! https://t.co/zC1TkYVztn https://t.co/adxW292llS,Business,,Business,
624,625.0,"12Aug18:  My first Illinois farmers market.  Now I’ve heard about a hill of beans, but a pile? 😜. Most of the fruits and veggies were okay, but some were damaged, and I’m very picky about… https://t.co/SGGJ5579EI",quality,"okay, damaged",,
625,626.0,Old North Farmers Market: one bouquet- $1 #oldnorthfarmersmarket #communitygarden #STLcommunity #locallygrown #zinnias #nofilter @ 13th Street Community Garden https://t.co/b0u5eZ2kWv,Business,,Business,
626,627.0,"Kidzeum of Health and Science is opening THIS SATURDAY!!! The celebration begins at 8am with ""Kid's Day"" at the Old Capitol Farmers Market and will carry on with a street party until 5pm! https://t.co/ajmbofgJtS",Business,,Business,
628,629.0,"HOW PROXIMITY MARKETING CAN HELP YOUR BUSINESS AT FARMERS MARKETS, CRAFT FAIRS AND FESTIVALS #askdrmemo #mobilemarketing #craftfair @drmemogamboa https://t.co/GQmbCGBaKi",Business,,Business,
630,631.0,Looking forward to seeing my farmers market family today as we have the last indoor market this spring. Woodstock Farmers Market,environment,indoor,,
631,632.0,"These will be available at Jefferson St. Farmers Market today from 430-730.

Moisturizing Body Sprays $10 

Formula #2 Toilet Sprays $5",Business,,Business,
633,634.0,"Summer Fun, Concerts, Parades, Carnivals, Farmers Markets can all be found on this edition of the Mount Prospect Update. https://t.co/P41C8hYd2r",Business,,Business,
636,637.0,#HealthTip: Start shopping at your local #FarmersMarket to find fresh fruits and veggies for #HealthyEating. https://t.co/mhY4Oudjya https://t.co/G3KZG0ejl7,Business,,Business,
637,638.0,@HampshireIL we are here and we have brought you FREE INTERNET FOR LIFE! Come check us out at the Hampshire Farmers Market from 8-12! #winchicago #GLM #EliteEntertainers https://t.co/tvhJc8XLSI,Business,,Business,
639,640.0,Checkout what's being whipped up by @TheChoppingBloc tonight at 6pm during the #LincolnSquare Thursday Evening Farmers Market. https://t.co/TyE91sc77z,Business,,Business,
640,641.0,"Mike Felten has a show on 06/24/2018 at 12:30 PM @ Wicker Park Farmers Market in Chicago, IL https://t.co/5wbUoC42IB #concert",Business,,Business,
641,642.0,#foodies #produce MT @Suntimes: It’s that time of year again when #farmersmarkets sprout up across #Chicago. Here’s a look at some of what you’ll find at neighborhood farm stands:  https://t.co/bXRsPLNBpL https://t.co/1oNPXs4wbp,Business,,Business,
642,643.0,Dropping money at the farmers market as if my eating habits might radically change over the next week like tf am I gonna do w 3 zucchini’s lbs,availability,zucchini,,
644,645.0,"Better make sure the Grinch doesn't steal your strawberries for this weeks kids activities at the Farmers Market from 9:30am-10:30am!
#grinch #activity #kids https://t.co/i9q6plljx5",Business,,Business,
646,647.0,"Admissions Counselor Beth Emperor will be tabling tomorrow at the @Moody_Bible Graduate Fair, 10a-4p at 821 N. Wells Street! Later that day you'll find Beth at the Farmers Market in the Ravenswood Covenant Church parking lot from 4p-8p. We hope to see you there!",Business,,Business,
647,648.0,Come see us at the Hyde Park Farmers Market today until 1pm! https://t.co/erGZDMqkuS,Business,,Business,
649,650.0,"RT edchoice """"'How much do farmers markets cost Walmart?' It’s a ridiculous question."" Find out what this means to the conversation around #publiced and #schoolchoice via https://t.co/UOcMGNOhbg""",economics,cost,,
650,651.0,"Do you have lunch plans? Stop by the SOAR Farmers Market at 12pm, noon for a Chef Demo with Chef Doug Wroble - and stick around for a taste of the dish! https://t.co/Q7qrdmDnno #ChicagoCityMarkets #EatLocal #OnlyInStreeterville https://t.co/YDE5FjwMGt",Business,,Business,
653,654.0,"Check out this #event: Lincoln Square Farmers Market - Cooking Demo, live music, food,drinks: https://t.co/gs8NpMsygC #chicago2flat",Business,,Business,
654,655.0,"We love participating in the Riverside Farmers' Market each week! Thanks to Riverside Farmers' Market and Von Tarverdi for featuring us as ""Vendor of the Week"" this week! Market is each Wednesday (3pm-7pm) in Riverside, IL. https://t.co/1zIpc1dy7D",Business,,Business,
656,657.0,"Starting fumbling with this thing between sets at the #farmersmarket yesterday. Random #words again to find a #melody for now. Kinda liking it. Also, listen to @telethonband cuz they… https://t.co/Xn52CvFvuH",environment,"sets, melody",,
657,658.0,"Come find the best our local farmers have to offer at the Highland Park Farmers Market today from 3 PM – 7:30 PM, at the Harvest Bible Chapel Parking Lot, 1731 Deerfield Road...https://t.co/pA7axY1nTe https://t.co/MrW2aet04Z",Business,,Business,
659,660.0,Grandpa Bill's Gluten Free Bread will be at the Farmers' Market tomorrow morning with lots of great stuff. The market runs from 7:30 a.m. to noon. https://t.co/CEjSIHN5Ly,Business,,Business,
660,661.0,"Looking for homemade items? MCHENRY FARMERS MARKET on May 17, 2018 @ 4:30 - 8 PM https://t.co/t7mysS4i54",Business,,Business,
661,662.0,Testing out our new canopy for the farmers market!  #GordonHeat https://t.co/V0jNeJo8NX,environment,canopy,,
662,663.0,Did you know @GreenCityMarket has an app? You can pre-order all of your favorite farmers market goods! https://t.co/zF3qJeRDsY https://t.co/zF3qJeRDsY https://t.co/IE1jfJ88fE,Business,,Business,
664,665.0,Tens of Thousands of People Are About to Lose the Ability to Buy Fresh Food at Farmers Markets https://t.co/0eYEyoHSSh via @ModFarm,economics,"buy, ability",,
666,667.0,"Did you miss the Zumba Bash last Saturday? No worries, you can go this Thursday! Easy registration for a workout well worth it!
https://t.co/ARVEySylLh https://t.co/K99vLARRaB",Business,,Business,
667,668.0,We have Cinnamon Rolls at the Hyde Park Farmers Market today! Stop by and see me! @ The Hyde Park Farmers Market https://t.co/lB4FzOqpdN,Business,,Business,
668,669.0,Upcoming Event: Hinsdale Farmers Market 2018 Season - 7/2/2018  https://t.co/nKD9mUAlKy,Business,,Business,
669,670.0,Celebrate Farmers Market Week by riding to North End Market on a LimeBike.  Triple your SNAP $ on Saturday! @LinkUpIL @RockfordHousing https://t.co/SKe8iItVf2,Business,,Business,
672,673.0,"""As area farmers markets begin to open for the season, bringing fresh produce to many south suburban locations, a harsh reality blights the popular mantra that, when it comes to good nutrition, nothing beats freshly picked fruits and vegetables."" https://t.co/paU8YZqEtu",quality,"freshly, nutrition",,
673,674.0,Classic Marmo keychains are flying off the shelves. Berwyn farmers market til one. Come get a tee or music bundle or Marmo! #toys #music #farmersmarket #berwyn #merch… https://t.co/fm3Ld2SxTa,Business,,Business,
674,675.0,"The Antioch's Farmers Market will be back this week.
Thursday, September 13th starting at 3:00 pm - 7:00 pm right at 900 Skidmore Drive. (In front of the Bandshell) 
See you Thursday. https://t.co/m583SKh9Jm",Business,,Business,
675,676.0,a little rain wasn’t going to deter me from getting an apple tarte from the sweet french nuns from st. roger’s abbey 💁🏽‍♀️🇫🇷🍎 @ Independence Park Farmers Market Chicago https://t.co/y3oZqqlNuB,quality,sweet,,
676,677.0,"It's only rain... come on out and support your local farmers market.
#rollickingbuckaroopepperjam is sampling here until 130pmpark https://t.co/yP16katE6Q",Business,,Business,
677,678.0,"Byron Center Farmers Market opens THIS Saturday, May 5 from 9am - 2pm. New location in @TangerOutlets parking lot.   https://t.co/dwzFefF1zZ @ByronCenterCham",Business,,Business,
678,679.0,"Quality chalking in advance of Plant Chicago’s farmers market on Saturday, June 2.  Get food from @PHBakery @whinerbeer @bikeabee @4LWCoffee and more! https://t.co/LuLxFFCbrN",Business,,Business,
679,680.0,Did the farmers market choose the hammer dulcimer  or did the hammer dulcimer choose the farmers market?,environment,"hammer, dulcimer",,
680,681.0,Stop by and visit the Tazewell County Pregnancy Resource Center’s stand today at the Pekin Farmers Market!  It’s a beautiful day to come down for lunch outdoors and have a look around. We hope to see you... https://t.co/6qi9M3lRLh,Business,,Business,
681,682.0,Farmers market in Davenport opens back up Saturday morning☀️☀️,Business,,Business,
683,684.0,"Sun-soakin’ bulges in the shade (peaches), now available! 🍑! (@ Downtown Bloomington Farmers' Market in Bloomington, IL) https://t.co/QMGWD7FIQd https://t.co/z3XBkYJ258",Business,,Business,
685,686.0,"Mike McNeil, a legendary Farmers' Market artist,  has an art show opening tomorrow at Ryburn Place in Normal. Check it out! https://t.co/cEubTjLnwQ",Business,,Business,
686,687.0,"It's National Farmers Market Week and we are proud to have Cedillo's Fresh Produce growing at our Eat to Live Incubator Farm in Chicago. To support Eat to Live, and our other programs, join us at our Harvest Moon Dinner on 9/13! https://t.co/lO6e5mrZoP #nationalfarmersmarketweek https://t.co/2RKD3ECjZ9",Business,,Business,
687,688.0,Friday Night Concerts & Farmers Market Back on the Square for the Season https://t.co/fxjSic0gsH https://t.co/QemkHTSFaA,environment,concerts,,
688,689.0,I got to be a judge in the 2nd Annual Oak Park Farmer's Market Pie Bake-Off! I'm wearing the judge's ribbon for the rest of the day and will judge you all accordingly. #pie #OakPark @oakparkeats #farmersmarket  @OakPark https://t.co/MLMJy8qnCN,environment,"judge, bake-off",,
689,690.0,Good night 💤 Annie 💫 @txstarkeeper hope you sell everything at your Farmers Market🍐🧀 https://t.co/7teSXbPcpL,availability,"sell, everything",,
