,No.,Tweet,Label,Words,Notes,Contributor
312,313.0,B and i are going to the farmers market and the arboretum tomorrow and i’m so afraid that my anxiety is going to ruin the whole day.,Not Business,,,
313,314.0,Big ups to the dude who just rolled into this farmers market in the Good Look of faded Morbid Angel shirt tucked into shorts + socks\sandals combo.,Not Business,,,
314,315.0,at the farmers market doing hoodrat shit with my friends,Not Business,hoodrat,,
315,316.0,@glorbis OMG there is a farm that is at some of the farmers markets that primarily sells apples. They will force you to eat samples of their patented cotton candy apples & unfortunately my face does not have the proper filter to avoid displaying the disgust I had upon biting into it. o_0,Not Business,disgust,,
316,317.0,My grandmother went to her first farmers market today. She complained about the crowds and strollers and dogs and she said “and everything is more expensive than the Jewel!”,Not Business,"crowd, strollers, dogs",,
317,318.0,But then I’m like oh yeah the east side is kind of the worst and know I love farmers markets,Not Business,,,
318,319.0,"I bought four herb plants at the Andersonville farmers market last night, and so this morning I've been googling things like ""How do I keep basil alive?"" and ""What the fuck am I supposed to do with this sand?""",Not Business,,,
319,320.0,Racist rant?! Woman berates customer at Trenton Farmers Market https://t.co/5D56jTEHvz via @YouTube,Not Business,,,
320,321.0,I need a puppy or another farmers’ market ASAP. Everything is still awful. Maybe worse.,Not Business,,,
321,322.0,@sadafies i spent all fkn day selling tomatoes at the damn farmers market and i can absolutely confirm:  i did it,Not Business,,,
322,323.0,"I need friends that actually want to go do shit with me, let’s go to the farmers market & hiking & just not be inside all day long",Not Business,,,
323,324.0,"Just because the weather has gotten color, doesn't mean you should forget about your local #farmersmarket . Just ask our friend Janie Maxwell of @ILFarmersMkts : #recipe #tomatoes https://t.co/5h7BHBazni",Business,,Business,
324,325.0,Organic & non-GMO is a scam now and always will be a scam. You wanna know what you’re eating? Buy from your local farmers at a farmers market. BTW Invest in your local farmers and watch your local ecomy grow.,Not Business,local,economics,
325,326.0,"Farmers' market treasures: basil, chard, cilantro, corn, methley plums, tiny potatoes, big tomatoes, tiny tomatoes, and a pot of thyme to replace the sad pot in my kitchen, which replaced the pot I killed last year.  Third thyme's the charm?",Not Business,"basil, chard. Cilantro, corn, methley plums, tiny potatoes, big tomatoes, tiny tomatoes, thyme",,
326,327.0,Scary shit... go to a farmers market stay out of the grocery stores,Not Business,,,
327,328.0,I stopped using emojis because I sent the 🍆 to everyone when I wanted to go to the farmers market not knowing it represented a penis. #WorldEmojiDay,Not Business,,,
328,329.0,"2 things husband said to me last weekend that I'm still LOL'ing but also WTF'ing about:
1. That's what you're gonna wear? 
(we were about to ride bikes to the farmers market, I was wearing clothes)
2. You don't know how temperature works! 
(I complained about our cold bedroom)",Not Business,,,
329,330.0,"Average modern liberal: TRUMP DIDN'T SIGN PARIS AGREEMENT & IS LOWERING STANDARDS ON ENVIRONMENT-FRIENDLY CARS

Also average modern liberal: drives or Ubers everywhere, can bother w/farmers markets or growing own food, annoyed w/taxes on reusable bags, never brings own coffee cup",Not Business,Trump,,
330,331.0,"@RepAdamSchiff  Attack on the poor begins. After July 31st, SNAP/FOOD STAMPS can no longer be used at the farmer's markets...

https://t.co/SkupRSQ3ke",Not Business,poor,,
331,332.0,"@davidstassen Yes, farmers markets are the worst and should not exist.",Not Business,,,
332,333.0,We all need to eat fruits and vegetables - even people who can’t afford it - why does Trump hate the poor? https://t.co/xddF88gEq5,Not Business,"afford, poor",,
333,334.0,"@pablitasan @NutmegRadio Factory farming, using the same bland corn based feed. Same reason eggs taste like shit. Gotta raise your own chicken and feed the garden scraps to get good eggs. Or shop the farmers market.",Not Business,"shit, good, bland",,
334,335.0,Brattiest thing I’ll say all month but i must speak my truth: Full offense I hate that I can’t take my dog with me to run errands also why can’t they sell beer at the farmers market,Not Business,"sell, beer",,
335,336.0,marengo town forum logic: trying to ban a FARMERS MARKET but throwing a town wide party over the approval of a gun range. smfh,Not Business,,,
336,337.0,"@neilworms Part of me feel like buying food away farmers market addresses the environmental concerns. As for ""rewarding"" bad behavior, I don't know what to say about that.",Not Business,buying,,
337,338.0,I'm about to go to the farmers market to just sketch and draw and not buy anything kdjsjsjsj,Not Business,"sketch, draw",,
338,339.0,"Sunday, Corey Chatman from Experimental Station helps unravel the byzantine situation that might lead to thousands of people losing the ability to use their #SNAP benefits at U.S. farmers markets. If that sounds outrageous to... https://t.co/P14lYYDXdu",Not Business,benefits,,
339,340.0,"@brycetache Attack on the poor begins. After July 31st, SNAP/Food stamps can no longer be used at Farmer's Markets...

https://t.co/SkupRSQ3ke",Not Business,poor,,
340,341.0,@theClaudiaInez Wore my Nasty Woman t-shirt to the farmers market this morning and all I got were compliments! Mostly from other older women who said the Women's March was the first time in their lives that they marched.,Not Business,,,
341,342.0,Kaylan & I are going to the farmers market this weekend & that shit sounds like a major bop,Not Business,bop,,
342,343.0,Stop getting outraged about finding bugs/small animals in your farmers market produce. Just wash your produce and move on with your life.,Not Business,"bugs, small, animals",,
343,344.0,@ByYourLogic As opposed to Commentary where Johnny Podz confuses Mr. Bean for a new upscale farmers’ market delivery service he can’t wait to misuse and abuse.,Not Business,,,
344,345.0,"was out for 5 1/2 hours (farmers market, Wrigley area before game, Lit Fest, passing Midsommarfest) but it felt like much longer w/rain, Cubs losing, lack of $ or rain protection, not feeling well, etc. etc. ...going out again",Not Business,,,
345,346.0,Grocery-store fruit often has less flavor than farmers' market offerings; does it have fewer vitamins as well? Or does food that tastes bland still have all the nutrients?,Not Business,"bland, nutrients, vitamins, flavor",,
346,347.0,i remember years ago when i graduated college i signed up nextdoor thinking i'd find out about a farmers market or some shit and i got banned immediately for calling everyone on there cops,Not Business,,,
347,348.0,"Sometimes a flavor you had only once sticks in your head. 4yr ago at Your Dekalb Farmers Market, I bought pressed Honeycrisp apple juice that wasn't uv-treated or pasteurized, and it was absolutely clear. Took a sip, saw God, and the bottle was empty. 🍎",Not Business,"uv-treated, pasteurized, flavor",,
348,349.0,"The farmers market accepts Link/SNAP. I don't even shop at the farmers market. Homemade organic apple pies are a luxury not in my budget because taxes are taken out to support people who can, in turn, buy homemade organic apple pie",Not Business,budget,,
349,350.0,Expensive Farmer’s Market https://t.co/6eUupX5EhB,Not Business,Expensive,,
350,351.0,"What's happened is complicated, but the result is simple and very bad. https://t.co/ut6Und9SAC",Not Business,,,
351,352.0,If you ain't taking yo girl to the farmers market to cop some fresh ass produce you lacking boy,Not Business,fresh,,
352,353.0,@kobelt87 Will I went to the farmers market and I got a terrible bite on my ankle and arm these mosquitoes are to savages.,Not Business,"mosquitoes, terrible",,
353,354.0,True story. There are signs all over my neighborhood with a photo of a white supremacist who was spewing hate at the farmers market the other weekend. It’s 2018 and people have to post signs warning others of a nazi.,Not Business,,,
354,355.0,"Many of us have questions as we go through life, some of them being serious and others, not so much. https://t.co/WfeHMZsNTk",Not Business,,,
355,356.0,@DownersGrvPatch Kicking off #MemorialDayWeekend2018 on a Saturday morning with a stop for donuts at the Downers Grove Farmers Market | #il06 #SaturdayMorning https://t.co/byLTZWrslq,Not Business,,,
356,357.0,fucked up how all farmers’ markets are in the pocket of Big Kettle Corn,Not Business,pocket,,
357,358.0,"@jalaffler @Boulevard_Beer Like anything you buy, trust the retailer of the product. If you buy beef from a butcher at a farmers market and it sucks, do you blame the cow? No. Buy any product, from a source you trust, with any product, but especially a live product like beer, wine, or cheese!",Not Business,,,
358,359.0,There is at least one pyramid scheme at every farmers market,Not Business,"every, at",,
359,360.0,I'm trying to go get drunk at the farmers market today tbh.,Not Business,,,
360,361.0,These farmers’ market eggs really tasting like scrambled gold,Not Business,"gold, tasting",,
361,362.0,@brazi__ Same place I was just worried I wasn't going to be able to resign the lease. Also it's been 5 months and we have not seen each other once!! Farmers market and chill next Sunday?,Not Business,,,
362,363.0,"Okay ladies so this is for science (aka to help formulate topics of discussion and solve problems in architecture): 
What are some main things that you hate about farmers markets (i.e. Layout, no places to sit, etc)??",Not Business,"architecture, layout, sit, places",,
363,364.0,"So far my eavesdropping at the farmers market has been:
1. ""Let me tell you about the iPad, iPhone problem!"" - 2 older ladies at Starbucks
2. Man 1: ""did you lose your man card?""
Man 2, wearing a shirt that just said TRUMAN: ""I threw my propane tank RIGHT in the trash.""",Not Business,,,
364,365.0,SNAP shoppers can get up to $40 esxtra to spend on fresh produce this week at the Champaign Farmers Market from 3:30-6:30 in the parking lot by Neil & Main in Downtown Champaign. Let’s make this a great October for our local farmers! https://t.co/Bo93unWH3U,Not Business,$,,
365,366.0,"One draw of living in Oak Park is the Farmers' Market, a dynamic, open-air, producer-only market held from 7 a.m. to 1 p.m. (rain or shine) every Saturday through October. The market is held in the Pilgrim Church... https://t.co/CnTRWvvzdc",Not Business,"dynamic, open-air, producer-only",,
366,367.0,"Support local growers and farmers 👩🏼‍🌾 👨🏻‍🌾 
.
Quincy Farmers Market In @thedistrictquincy. Saturday’s from 7a-12p with FREE activities and goodies from @quincymedgroup 
.
#quincyil #rightonq #farmersmarket... https://t.co/UvpS20q8D8",Not Business,,,
367,368.0,Thanks to all those who supported our vendors on Saturday. Join us this Saturday for another outdoor Farmers' Market. https://t.co/lKYonwQIot,Business,,Business,
368,369.0,best thing about mariano’s is the fresh squeezed orange juice sold by the half gallon. farmers market whom?,Not Business,fresh,,
369,370.0,tomorrow i will go to the sex shop and the farmers market and what i will not do is read Capital in public,Not Business,,,
370,371.0,We are here this morning! Look for the pumpkins and mini pumpkin habaneros! #GordonHeat @ Old Capitol Farmers Market https://t.co/YYnAx8r93H,Not Business,,,
371,372.0,Our lovely hardwood bicycle basket is PERFECT for a ride to the Farmers' Market: https://t.co/SXRfWhoaqc #madeinUSA #basket https://t.co/lOLJkN6OzS,Business,,Business,
372,373.0,Another fun summer day. We went to the farmers market and tried a different park out!  #sundayfunday #babyvega #lifeisgood #cuterthanmost https://t.co/cNMPP4jDEf,Not Business,fun,,
373,374.0,"Good Morning from the Schaumburg Farmers Market
What a gorgeous,  breezy morning. 
We're here today  every Friday morning from 7 a.m.-1 p.m. 
Come on out and sample #rollickingbuckaroopepperjam and pickup your jar or two. 
Checkout our upcoming events https://t.co/GUyhF5oN5L",Business,,Business,
374,375.0,"Its Thursday so its Farmers market day (@ Richard J. Daley Center in Chicago, IL) https://t.co/C9OkJPgATt https://t.co/iVNOfbbGdQ",Not Business,,,
375,376.0,Give Blood. Give Life. Be a Hero!  Donate this Thursday at CGH Medical Center and get a coupon for the Twin City Farmers Market and be entered to win your chance at $50 in gift certificates for the market! https://t.co/PB6nAEYYvk,Business,,Business,
376,377.0,"WALK IN THE PARK! After I finished up the broadcast from the @ILStateFair Farmers’ Market, I stopped by Lincoln Park for three laps before calling it a day. https://t.co/AKgyP4T0XH",Not Business,,,
377,378.0,Batavia farmers market still draws crowd in 23rd year https://t.co/5C7xpm8IvR,Not Business,crowd,,
378,379.0,@day_bowbow Farmers Markets are becoming quiet corporate imo,Not Business,corporate,,
379,380.0,"Optional survey for WIC participants:
This survey is for a study that will investigate the benefits and barriers to using Women, Infant, and Children (WIC) farmers’ market checks.
By completing the survey, you will... https://t.co/IdWMzgNaAH",Not Business,,,
380,381.0,Love from the Kankakee Farmers Market https://t.co/w6UGtJT6xG,Business,,Business,
381,382.0,GUESS Debuts Farmers Market Capsule Collection https://t.co/sltlahVyL6 via @CNKDaily,Business,,Business,
382,383.0,Some friends making a pumpkin at the last #foxlakefarmersmarket of the season! #libraries #librariesofinstagram #outinthecommunity #foxlake @ Fox Lake Farmers Market https://t.co/BgexWslMpb,Not Business,,,
383,384.0,"I made it to Portage Park Farmers Market, FINAL DAY of (Six Corners) Sears (separate thread later), Southport Arts Festival, Taste of Chicago, & friend's legendary cookout at bar. so far...",Not Business,,,
384,385.0,Do you know how close your #Chicago #apartment is to a #FarmersMarket? Head to our blog to find out: https://t.co/NCJiFicYKI https://t.co/QKABlQ3zsz,Business,,Business,
385,386.0,Calling all musicians!!! The Downtown Hyde Park Farmers Market is looking for you to potentially play at the market on Thurs June 7- October 25! Slots are 1.5 hours long w/ a stipend provided...Interested? Send your bio & links to Amy at acsrodon@uchicago.edu https://t.co/o7ToTdkTOw,Not Business,musicians,,
386,387.0,Want to learn more about our team? Stop by our booth at the Urbana farmers market this Saturday morning from 7:00 to 1:00!,Business,,Business,
387,388.0,The top of @HopsmithTavern has #livemusic and a #retractableroof for a #finedining experience. @ Division Street Farmers Market https://t.co/paxCqaH7At,Not Business,"live, music, roof, finedining, experience",,
388,389.0,"The Farmers Market at Central Park is Now Open | City of Moore
https://t.co/zU0BSFIOkz",Business,,Business,
389,390.0,"Whether you want to know the origin of a particular food, how to prepare an ingredient or a creative way to cook a dish, someone at your local farmers market will know the answer. https://t.co/Bm2rDid8pe",Not Business,,,
390,391.0,"Weekend plans: BUY ALL THE TOMATOES. #farmersmarket #glenviewparkdistrict #glenviewpkdist #farmlife #tomatoes #summer #farmtotable #organic #fruit #veggies 
https://t.co/Lg6Ph57Wsx https://t.co/7CHzg4JbZC",Not Business,,,
391,392.0,"The StreetWise Farmer's Market guide has info on 50+ #Chicago area markets, including @LSRCC_Chicago's Lincoln Square and Ravenswood Farmers Markets! Visit your favorite vendor. OUT NOW! https://t.co/UCpPpuvRTm",Business,,Business,
392,393.0,"We’re turning up the beet at this week’s Farmers’ Market! Join us on Thursday, May 10, for your chance to get one of these totes. The Illinois Products Farmers’ Market runs from 4-7 p.m. at the Illinois State Fairgrounds. #FarmersMarket2018 https://t.co/V41ps1Kg1X",Business,,Business,
393,394.0,"Presto Pesto is at the Farmers Markets this week, Rain or Shine! Catch us at the Englewood Farmers Market on Thursday, at the Venice Farmers Market on Saturday, & in Punta Gorda at the History Park Farmers Market on Sunday! https://t.co/fCil6Kfd5z for all the info! #glutenfree https://t.co/nJxU2hopNu",Business,,Business,
394,395.0,"Shop like a local at the farmers markets & garden centers of the Aurora Area! #EnjoyAurora all season long, where memories have grown for generations. Pictured: @abbeyfarmsIL  in Aurora, Illinois. Read more at https://t.co/LiUpVSaZXo https://t.co/S99npsx2i9",Business,,Business,
395,396.0,TONIGHT! Join @geraldncamille for the 3rd show of our bi-monthly summer residency at Middleton's on Main! We are playing immediately following the Wauconda Farmers Market starting at 7:00 PM! Come in for $5 Glasses and 1/2 off Bottles of Selected Wines and some great Live Music! https://t.co/gHUWz6Xboe,Business,,Business,
396,397.0,"Smell of fresh #donuts in the air, local business owners, parking for bike, scooters, strollers and labradoodles!  @VillageofCH #FarmersMarket #seeyouthere https://t.co/RywYiYXDK3",Not Business,"smell, air",,
397,398.0,An organic farmers market https://t.co/2c66GStCAv,Not Business,organic,,
398,399.0,"@TheDreamGhoul I think you should explore the difference between selective breeding and genetic modification, and farmers market corn compared to Monsanto corn.",Not Business,genetic modification,,
399,400.0,It’s too hot to cook so come enjoy dinner at the Farmers Market TONIGHT! Specially prepared by this weeks Firehouse Celebrity Chefs 👨🏼‍🚒👨‍🍳 — at Wauconda Farmers Market https://t.co/g1ecO8ddis,Business,,Business,
400,401.0,"@sraichlen I just bought a homemade jar of Gochujang sauce from my farmers market. What to do, what to do? Wanna share a favorite recipe?",Not Business,,,
401,402.0,Hey Andersonville! Come on by and say hi to Mia while getting your soap fix! She'll be there from 3pm to 7pm today. @ Andersonville Farmers Market https://t.co/VtOJG3LcPy,Business,,Business,
402,403.0,"I just signed up on the ""Ravenswood Farmers Market Guest Vendor Sign Up"" page for Second Vendor https://t.co/mUsSwSVlBG  via @signupgenius",Not Business,,,
403,404.0,"The beet goes on every Saturday morning at the Glenview Farmers Market! (Through Oct 27) #glenviewpkdist #glenviewparkdistrict #farmersmarket #pun #farmlife
https://t.co/Lg6Ph4QlAZ https://t.co/RRBwvVGHY7",Not Business,,,
404,405.0,"Make sure to stop by the weekly Elgin Farmer's Market! It is open from 3 to 7 p.m. on Grove Avenue near DuPage Court. 

See you there!

#ElginIL #FarmersMarket #BuyLocal https://t.co/FX0OPOPEri",Business,,Business,
405,406.0,Choose your local farmers market to to be #healthy with fresher veggies - https://t.co/oflllSmTM4 https://t.co/DaODAqHIDK,Not Business,"healthy, fresher",,
406,407.0,"How are you spending Saturday morning?
#poll #glenviewparkdistrict #farmersmarket #shoplocal #farm #healthy #veggies
https://t.co/Lg6Ph4QlAZ",Not Business,,,
407,408.0,Peg Hoover Photography graces Farmers Market - Kokomo Perspective https://t.co/9CuvzTwd08,Not Business,photography,,
408,409.0,Perhaps the village could have told the construction company this street is used for Farmers Market parking on Saturdays? https://t.co/i4s3JPyKCu,Not Business,parking,,
409,410.0,Have you tried #localtofu before? Come to the @edgechamber Edgewater Farmers Market this Sat at the #BroadwayArmory and sample the #besttofu in Chicago made right here in #Edgewater!  https://t.co/zurIYuj1tm https://t.co/uFu0voD3MR,Business,local,Business,
410,411.0,"Recipe of the day: Baked Zucchini Fries  If you don’t have lots of zucchini in your garden (and none of your neighbors have abandoned their extras on your front porch), you can pick some up at our farmers markets to try out this recipe. https://t.co/lQvT7EFmTL",Business,have,Business,
411,412.0,Watch @thefitbakermom's broadcast: Farmers Market #Perigirls #Scopetober #Affirmations https://t.co/xWZTKokOBL,Not Business,,,
412,413.0,We had a great time at the farmers market. Storytime and the Friends of the Library book sale were a hit. @lgfarmersmarket @LaGrangeBiz https://t.co/yY5FBp9oyj,Not Business,"great, time, hit, sale",,
413,414.0,Fun at the Farmers Market! https://t.co/LF2H0Q3JJj,Not Business,fun,,
414,415.0,"Fresh fruits and vegetables are yours for the asking. The Downtown Hyde Park Farmers Market every Thursday 7:00am - 1:00pm
#downtownhydepark #hpcc",Business,fresh,Business,
417,418.0,"HOW PROXIMITY MARKETING CAN HELP YOUR BUSINESS AT FARMERS MARKETS, CRAFT FAIRS AND FESTIVALS #askdrmemo #mobilemarketing #craftfair @drmemogamboa https://t.co/GQmbCGBaKi",Business,,Business,
418,419.0,"Where are we this Wednesday?  Visiting the Belleville Old Town Farmers' Market!  It is open on Saturdays from 7:30 am to noon, from May through November 3, on the first block of South Charles, next to 324 East... https://t.co/Lem9tdCYBk",Business,,Business,
419,420.0,"HOW PROXIMITY MARKETING CAN HELP YOUR BUSINESS AT FARMERS MARKETS, CRAFT FAIRS AND FESTIVALS #askdrmemo #mobilemarketing #craftfair @drmemogamboa https://t.co/GQmbCGBaKi",Business,,Business,
422,423.0,It’s Halloween Downtown! Come stop by for Trunk-or-Treat at the Kankakee Depot and Bingo at the Kankakee Farmers' Market. https://t.co/duyKkHeeXA,Business,,Business,
426,427.0,"Summer is here, and so is Farmers’ Market season! One of the perks of living in @LakeCountyIL is the incredible access to local vendors. Find your #FarmersMarket here: 
https://t.co/pOMBUNmdG0 https://t.co/8esZXbnRzb",Business,,Business,
427,428.0,Andersonville Farmers Market - Week 23- Last market of the season! - https://t.co/UKWjwaVm7j https://t.co/USIUzqnzKB,Business,,Business,
428,429.0,The Pekin Farmers Market is looking for volunteers! Interested? Visit our website --> https://t.co/Nyb6ZgD0Ec,Business,,Business,
431,432.0,Stop by the Lake Zurich farmers market today from 3-7 pm and visit these precious animals!  The market is located in the park near the corners of Route 22 and Route 12.,Business,,Business,
438,439.0,Tune in to @whms975 this morning around 8:20 for Champaign Farmers Market updates from Sarah! Bring the kids out for Market Seedlings this afternoon! https://t.co/OXq2hloZWb @cg_food_coop @ChampaignPubLib @willpublicmedia @BrainyEscapes  @DragonFirePizza https://t.co/Wo1WvYS805,Business,,Business,
457,458.0,"Find #Engage109 Board Members, Supt @mcconnellaw & Coord. of Comm. @cateked at the Deerfield Farmers Market this Saturday (7/21) from 8:30-11:30am. See you there! https://t.co/4jGBAqf4CW",Business,,Business,
458,459.0,Want to hit up a farmers market this weekend? Here’s a look at some of what you’ll find at neighborhood farm stands:  https://t.co/819XfsU74J,Business,,Business,
460,461.0,"Notification: Cape Farmers' Market @ Thu Apr 26, 2018 12pm - 5pm (CDT) (capegirardeaucalendar@gmail.com) CST/GMT #SEMO https://t.co/xDTo10UpZm",Business,,Business,
461,462.0,"I will be opening the Farmers Market this Thursday, 
5-7, at the Illinois Fairgrounds at the Lincoln stage. 
@EdClarkPiano https://t.co/7ku61VU20s",Business,,Business,
462,463.0,Come out and see us tomorrow at the Halloween Farmers Market! We will be on the east side of 4th Street in costume and giving out tons of free books. 🤡👻👽🎃#Halloween #lolbookshare #freebooks,Business,,Business,
464,465.0,2018 Grayslake Farmers Market: https://t.co/ezPtdqYwLV via @YouTube,Business,,Business,
466,467.0,"While you're out and about at the @MainStreetLvill Farmers Market, stop by to our Lucy Booth for some good beach-read recommendations! ""Lucy"" is in for the morning! https://t.co/pxxhuUg1Tt",Business,,Business,
485,486.0,"Varieties Music Team has a show on 09/15/2018 at 09:30 AM @ Elk Grove Farmers Market in Elk Grove Village, IL https://t.co/0I48js5zQJ #concert https://t.co/mazrUVwVeB",Business,music,Business,
486,487.0,"Last Farmer's Market of the summer.
.
.
#farmersmarket #sheriffshouse #woodstock #coolbuildings #buildingphotography #buildingphoto #architecture #architecturephotography #architecturenerd… https://t.co/HkVXtKWUfi",Business,,Business,
488,489.0,"The Loyola Farmers Market now is open!
Loyola Farmers Market is not only an opportunity to purchase fresh, healthy an locally grown products but also support the direct result of Loyola's students project efforts. 
Check this spot... https://t.co/qfBdENiEn3",Business,"locally, fresh",Business,
503,504.0,"Did you know we are only days away from the first @downtownelgin Farmers' Market? The market will take place every Friday from 3:00 PM - 7:00 PM on Grove Avenue in #ElginIL. #ExploreElgin

https://t.co/rHLeRnT0g9 https://t.co/h6qk7InLlA",Business,,Business,
505,506.0,"if you're out and about in Metropolis this morning be sure to get out and visit the Farmers Market! 

it's located at the EZ Portable Buildings Metropolis, IL lot ... between McDonald's and Fort Massac State Park.. https://t.co/r9mFicaBRA",Business,,Business,
506,507.0,"HOW PROXIMITY MARKETING CAN HELP YOUR BUSINESS AT FARMERS MARKETS, CRAFT FAIRS AND FESTIVALS #askdrmemo #mobilemarketing #craftfair @askdrmemo https://t.co/uoGVvWRptm",Business,,Business,
507,508.0,"In honor of the Illinois Farmers Market Association's upcoming Summer Feast fundraiser gala at bleuroot restaurant, we have an excellent tomato and peach panzanella salad recipe from owner and chef Maria... https://t.co/5IgrUSEiF5",Business,,Business,
508,509.0,"Green City Market Lincoln Park outdoor season operates May - October every Wednesday and Saturday from 7am to 1pm! Make sure to stop by your local famers market! #SummerTime #FreshFood #Farmersmarket #LincolnPark

https://t.co/LzN1EcvzRI",Business,,Business,
514,515.0,"Meet us in Hyde Park for the 15th Annual #SoundSystemBlockPark ✨ It's the place to be for any and everybody this Saturday. Don't be the one who missed out 😉
.
.
.
.
.
.
#smteas #tea #chicagotea #farmersmarket... https://t.co/Bj1fEf7sSm",Business,,Business,
518,519.0,"Nido will have a booth tomorrow as part of the Artisan Collective at Batavia’s Farmers Market.  Head on over to River Street in downtown Batavia, Saturday 8am-12pm.
✨
I’ll be selling my new healing bracelets,... https://t.co/sJBVwKE48w",Business,,Business,
519,520.0,Happy Indigenous Nations Day 🙄🌈🇲🇽🔥 @ Logan Square Farmers Market https://t.co/HyPMWyuplg,Business,,Business,
520,521.0,Come visit our booth and visit with our cadets!  Downtown Farmers market today until noon!,Business,,Business,
523,524.0,You've seen the glorious melting wheel of cheese.... now prepare for some of the best hand-cranked sausage you'll find around the city. Got any guesses? Find out next when our #FarmersMarket episode continues on @WGNTV #ChicagosBest #raclette https://t.co/1DR5TYl1jC,Business,"best, glorious",Business,
525,526.0,"Come see us at the Wauconda Farmers Market Thursday, August 9 from 3-7 pm. We will have some merchandise to sell and some interesting objects to check out. See what we are up to! (Photo: Back of the Cook House in 1950) #wauconda #farmersmarket #letsgolakecounty #FarmLife https://t.co/9q625KGFhr",Business,,Business,
526,527.0,Ravinia Farmers Market Opens June 6 https://t.co/BpLGHxIaJX,Business,,Business,
527,528.0,Upcoming Event: Hinsdale Farmers Market 2018 Season - 10/1/2018  https://t.co/IH79ak2Hcn,Business,,Business,
532,533.0,"Anyone wanting to know how to become a vendor at our farmers market at Hannibal Central Park Farmers' Market, here is a link. https://t.co/yIQrmmHo5F",Business,,Business,
533,534.0,"Only a few weeks left to enjoy the Hyde Park #FarmersMarket @HarperCourt. Find apples, pumpkins, mums & more! Open until 1pm today #HydeParkChicago https://t.co/Lzk6qAVaf7",Business,"apples, find, pumpkin",Business,
534,535.0,"Looks like, smells like, tastes like summer🍍☀️😋 Try TROPICAL TANGO at the Farmers Markets in Mt Prospect 8/5, Wicker Park 8/12 and in Park Ridge on 8/18 #guiltlessguac #vegan #vegetarian… https://t.co/qobNOMMHGE",Business,,Business,
540,541.0,Rain or shine we are doing this @LandConnection Champaign Farmers Market @21stShow at 5 pm! Please come join us (we’ve moved inside next to the market) https://t.co/cZ65PlEavt,Business,,Business,
543,544.0,"@Bratts29 Been held on Fridays since 1982. We considered moving days but many of our vendors who participate could not change days. If you can't make it to @SchaumburgIL Farmers Market, check out weekend markets nearby at https://t.co/PLnKZ8WhgU",Business,,Business,
549,550.0,Every Sunday starting June 10th! Enjoy the fabulous Farmer's market opening at 7:30am in @Downtownskokie #SkokieIL https://t.co/OUVd11uNpA https://t.co/RMM7OYcXtn,Business,,Business,
552,553.0,"During a hard day of garage sale visits, stop by the MG Farmers' Market for breakfast, lunch or some fresh fruit or baked goods on Saturday from 8am to 1pm. https://t.co/9o3NzhHyXK",Business,,Business,
553,554.0,You know what’s happening today? @imancentral Fresh Beats & Eats Farmers Market today 2pm to 6pm. Make sure you come by.,Business,,Business,
554,555.0,@suttondancer @ElisCheesecake @TasteofChi @WaitressMusical @ChooseChicago The Farmers Market is every Thursday! Make sure to follow @ElisCheesecake social media to stay up to date on events 😀,Business,,Business,
556,557.0,"Have you made a visit to the DeKalb Farmers Market yet this year? Head down to the Van Buer Plaza this Thursday from 10am - 2pm! https://t.co/AZBZwLJ1uR 

#DeKalbCounty #FarmersMarket",Business,,Business,
568,569.0,"Come out to @towergrovefarmersmarket tomorrow, Saturday, June 23rd.  We will be at Tower Grove Park in St. Louis from 8 to 12:30.   Great Steak and Ground Beef Specials Available Saturday!  #Farmersmarket #familyfun https://t.co/158Y2nRE3d",Business,,Business,
608,609.0,This Wednesday marks the final Rantoul Farmers Market of the season! Grab ingredients and much more from 4-7! #VisitChampaign #OutsideofOrdinary https://t.co/AdSeCtSsnv https://t.co/eaq4MoWAzR,Business,,Business,
609,610.0,"Let Presto Pesto help you out this summer with some delicious Gluten Free recipes! Stop by this weekend and let us help!
Saturday: Venice Farmers Market at Avenue Des Parques, Venice, FL 8am- Noon
Sunday: History Park Farmers Market, 501 Shreve Street, Punta Gorda, FL 9am-1pm https://t.co/DIcxXL7PkL",Business,,Business,
610,611.0,There's farmers markets happening every day of the week in #Chicago and the suburbs! Check out the guide: https://t.co/OoyxnIrJOJ #ChicagoBestBets https://t.co/SQuzPVZeNP,Business,,Business,
612,613.0,"This time of year, there are countless types of fun fruits and vegetables available at your local farmers market. How can you keep it fresh (literally!) & utilize your produce purchases in  a creative way? Try out... https://t.co/ETJTcHToES",Business,,Business,
613,614.0,WSSRA has been chosen for the Fresh Thyme Giving Bag Program for July! @ Fresh Thyme Farmers Markets https://t.co/MgnLacLixE,Business,,Business,
615,616.0,"Beet salad with mixed greens, fresh herbs, white balsamic vinaigrette, @rothcheese Butterkase cheese. #shoplocal #midwest #midwestchef #beets #salad #farmersmarket https://t.co/FiS88PrLxL",Business,,Business,
623,624.0,Stock the frig with freshness from Downtown Skokie's Farmers Market— Open Sunday! https://t.co/zC1TkYVztn https://t.co/adxW292llS,Business,,Business,
625,626.0,Old North Farmers Market: one bouquet- $1 #oldnorthfarmersmarket #communitygarden #STLcommunity #locallygrown #zinnias #nofilter @ 13th Street Community Garden https://t.co/b0u5eZ2kWv,Business,,Business,
