Sentences,SGD_Pred,LR_Pred,TFIDF_Pred,Vote_Pred
A high tech science lab meets recycled materials.,environment,environment,quality,environment
Farmers Market -- every Saturday.,environment,environment,environment,environment
"Since there are 2 bakeries at The Plant, breads are available as well.",availability,availability,availability,availability
Plant Chicago CSA -- check website for info.,availability,availability,availability,availability
Store -- to come.,environment,environment,quality,environment
Just raised $65k for decor/renovation.,environment,environment,quality,environment
Shall sell products from tenants in bldg.,quality,quality,quality,quality
I look forward to the Build-Your-Own Home Aquaponics System!,availability,environment,safety,N/A
The bf wants to get into aquaponics so he wanted to check out the Plant.,availability,availability,availability,availability
They offered tours so we ordered some tickets online.,availability,environment,availability,availability
There was a time to which the tour was due to start but they delayed the start because they were waiting for another group.,environment,quality,quality,quality
That group was part of some class that must have required participation.,environment,environment,environment,environment
They all asked the same questions throughout the tour.,environment,environment,environment,environment
Very annoying.,environment,environment,environment,environment
There was a lot of things in progress but there were two bakeries up and running.,environment,environment,environment,environment
The staff were very friendly and clearly knowledgeable.,environment,environment,environment,environment
"Though they're still working on expanding, this place had a lot of tidbits of knowledge. the tour had a decent amount of knowledge and it was cool of the random employees here and there to answer any questions we had.",environment,environment,environment,environment
I look forward to seeing how this place progresses as they seem to have a lot of big visions for this place.,environment,environment,environment,environment
Not much happening there now.,environment,environment,environment,environment
"Great ideas, poor followthru.",environment,environment,environment,environment
"Whiner Beer is their successful business, but they reuse virtually none of Whiner 's. by products.",environment,environment,environment,environment
The people working here are doing amazing things for the city of Chicago and the community in which it sits.,environment,environment,environment,environment
I must admit that I read another comment that said the tour price of $12 was too much money for what they got.,environment,environment,environment,environment
"I think the idea of paying the fee is to support the cause, not to really get your money's worth, but hey that's just my opinion.",environment,environment,quality,environment
"Also the neighborhood is in one of Chicago's most historic, the Back of the Yards.",environment,environment,environment,environment
"It might be sketchy for say, someone who hasn't had the privilege of experiencing the diversity of all the different people and classes throughout Chicago, and to someone who is used to exploring the suburbs, instead.",environment,environment,environment,environment
"When I made my visit, it was for their annual food truck rally.",environment,environment,quality,environment
"There was music playing, food trucks serving, and tours of their building happening.",environment,environment,environment,environment
"Not to mention, they had a demonstration of how their methane gas food compost machine will operate to supply energy for the entire building.",environment,environment,safety,environment
"That is right, they will produce energy from food!",quality,quality,quality,quality
"I also admire that instead making an effort to gentrify the community, the businesses that operate within the building are including community members to be involved.",environment,environment,environment,environment
This place is great and definitely worth the stop.,environment,environment,environment,environment
"When I first caught wind of a sustainable, hydroponics based farm share inhabiting an old meat processing plant in an industrial park on the south side of Chicago I was THRILLED.",quality,availability,environment,N/A
"I immediately did some research, backed their kickstarter to help fund much needed building improvements, and signed up for the weekly CSA.",environment,availability,environment,environment
"While the CSA is considerably over-priced for the quantity and quality of what you get each week, I thought it worthwhile (if not noble) to help a budding business with such a seemingly altruistic approach to providing a community with good healthy food.",quality,quality,quality,quality
"Alas, I was severely disappointed in the lack of flexibility and professionalism throughout my entire experience (which is going on 3+ months).",environment,environment,availability,environment
"One andecodtal story - Recently I was not able to pick up my farm share on the scheduled Tuesday, and decided to instead come by the alternate time that Saturday.",environment,environment,quality,environment
"Granted I was in the wrong here, and should have given them a heads up that I would be coming on a Saturday instead of the agreed upon Tuesday, but they gave you the choice as to which day you would want to pick up, so I figured switching days once during the session wouldn't be that big of a deal.",environment,environment,environment,environment
I was mistaken - after 30 minutes of scrambling and making phone calls while I sat waiting I was ultimately sent away empty handed (Which is incredible to me considering you are inside the building where ALL OF THE FOOD IS GROWN when you pick up your share).,environment,quality,quality,quality
"Even more frustrating, my pre-paid farm share was given away or disposed of when I did not pick it up on Tuesday without so much as phone-call from The Plant.",environment,availability,availability,availability
"Not quite what I expected from an organisation which advertised as ""a small CSA we're able to provide exceptional customer service, so you are totally satisfied"" when I cut the first $243 check.",environment,environment,environment,environment
"As result of the experience above, I decided not to pursue the remaining portion of the farm share, and asked to be reimbursed for the weeks ahead that I had already paid for but did not wish to receive.",environment,environment,quality,environment
"The response I received was terse and condescending - I was informed that there would be no such refund, but they would be happy to stop making my box each week if that is what I wanted.",quality,quality,quality,quality
"It is unfortunate that a business would begin its life treating customers like this, and I felt it was important to share this story to help save people a similar frustration - not to mention lose out on a meaningful amount of money.",environment,environment,environment,environment
Great place to get away from the city life and stretch your green thumbs.,environment,environment,environment,environment
One of the best places in Chicago to see aquaponics and indoor food growing.,quality,quality,quality,quality
Volunteering is great fun.,environment,environment,environment,environment
"Adorable, adorable, adorable!!!",environment,environment,environment,environment
I love little farmer's markets.,environment,environment,environment,environment
I can't get enough of them.,environment,environment,environment,environment
It's almost an addiction.,environment,environment,availability,environment
I love to support the local entrepreneurs and farmers from any area.,environment,environment,environment,environment
I stop at every single farmer's market I come across.,environment,environment,environment,environment
"While down in Quincy visiting my baby brother at college, we headed to Thyme Square Café for lunch before hitting the road to come home.",environment,environment,environment,environment
"When we arrived on 5th street, we parked and saw the farmers market taking place.",environment,environment,environment,environment
I immediately asked my sister and brother if we could walk it before we ate and they both agreed.,environment,environment,quality,environment
"Thanks, guys!",environment,environment,environment,environment
"Its a small market but they had plenty of options of fresh fruits and veggies, baked goods, crafty items, homemade artsy stuff, plants and much more.",availability,availability,availability,availability
"I split a crate of peaches with my sister for $10 ($5 ea.), picked up some HEATLESS jalapenos which I later that week sliced and put on a homemade pizza back at home and even grabbed a small peach pie for $3.",availability,availability,availability,availability
"I was very impressed with the heatless jalapenos...I had never seen anything like them before and was blown away that these exist and more so, that I liked them as much as I did.",environment,environment,environment,environment
"In fact, I am actually going to see if I can find some seeds and grow some at home this summer.",quality,quality,availability,quality
"We'll be back down in the area in May and I'm very hopeful that this market is open while we're there because I know my hubby would love it, too!",environment,environment,environment,environment
Final thought...the people here were SUPER friendly.,environment,environment,environment,environment
Totally loved them to pieces!,environment,environment,environment,environment
I would love to know more or talk to somebody I have a lot of produce that is ready to be sold and I was interested in setting up over at you know the Washington Square Quincy Farmers Market I was wondering if somebody could maybe even call me and let me know what I need to do to set up over there my name is Paula Whitaker and my number is 573-2316129 thank you!,environment,quality,environment,environment
"A family farm with very tasty produce, fresh eggs, and great prices.",quality,quality,quality,quality
Just 3 miles west of Route 12 on Route 173.,environment,environment,environment,environment
They're open 7 days a week 8:30am to 6pm.,environment,environment,quality,environment
Run by Myra and John - couldn't find two nicer people who run such a great little operation.,environment,environment,environment,environment
We get farm fresh milk there year-round and purchase fresh produce in the summer months.,quality,quality,quality,quality
Also purchased this year's free-range turkey for Thanksgiving - best turkey ever!,availability,availability,quality,availability
So stop by come springtime and find out what they've got!,environment,environment,environment,environment
The best family farm around.,environment,environment,environment,environment
"Great flowers, produce, eggs, and decorative gourds and pumpkins for fall.",availability,availability,availability,availability
It is always fun to visit the farm animals as well.,environment,environment,safety,environment
Myra and John are always super helpful and it is nice to see where your produce is coming from.,environment,environment,environment,environment
Highly recommend!,environment,environment,quality,environment
Go to Patyk farms if you want the whole farm experience.,environment,availability,quality,N/A
They have a wide variety of great produce to choose from at their very own market.,availability,availability,availability,availability
The best experience was that I could actually pick my own tomatoes.,availability,availability,availability,availability
"Bring your children with so they can visit with the cats, chickens, turkeys and goats.",quality,quality,safety,quality
"Overall, I highly recommend making the trip out to Patyk Farms in Richmond, IL.",environment,environment,quality,environment
You won't be disappointed.,quality,environment,safety,N/A
Wonderful family farm with great variety of produce and eggs.,availability,availability,availability,availability
You may want to call ahead to order some eggs because their eggs are very popular.,availability,availability,availability,availability
Very fair prices.,environment,environment,environment,environment
Highly recommend!,environment,environment,quality,environment
After being to several farmers markets and have now realized what an amazing farmers market we have compared to other towns 10x the size of Beloit.,environment,environment,environment,environment
"To start with, the ACTUAL farmers market does not start until mid June when farmers get their vegetables in.",environment,environment,environment,environment
"So in May, its call the ""preview"" or some sort of limited market.",availability,environment,environment,environment
"The full scale market has a HUGE variety of friuts/vegs, and many farms are non-GMO and Organic.",availability,availability,availability,availability
They also have multiple bakeries and craft people rounding out everything you could possibly want in a Farmers Market......My personal favorite:,environment,environment,availability,environment
1.,environment,environment,quality,environment
"Froggy Farms - Organic vegs, and these gargantuan garlic that taste 2.",quality,quality,quality,quality
Salsa Man - Don't be fooled by imitators....his chips and salsa are amazing.,quality,quality,quality,quality
You can tell it is fresh and the variety of flavors is unparalleled. 3.,availability,availability,availability,availability
"Boomerang Bakery - Based out of Monroe, this place has the best pastries, but most of all, they sell a chop bread which is phenomenal. 4.",quality,quality,availability,quality
"Juice Lady - I don't know her name, but she sells fresh juice and smoothies that are truly fresh and worth every penny. 5.",quality,quality,quality,quality
Donut guy - there is tent that sells cinnamon sugar mini donuts that come out of the fryer and melt in your mouth.,environment,environment,availability,environment
They are a heavenly way to try to clog an artery.....and truly worth it.,quality,quality,quality,quality
"Overall, an excellent Farmers Market with plenty of variety of vegs and food.",availability,availability,availability,availability
"I do wish we had a few more food trucks, but the bakeries somewhat make up for it.",environment,quality,quality,quality
Make sure to bring cash because most people don't take credit cards.,environment,environment,environment,environment
"This is my favorite farmers market - good music, beautiful produce, Delish Bakery goods - u gotta try the fresh made donuts and the French pastry!",quality,quality,quality,quality
"Restaurants, food trucks, food stands, all serving up yummy food And drink!",quality,quality,availability,quality
My favorite: the taco truck for steak tacos!,availability,environment,availability,availability
"There's also a good selection of vendors with specialty Items like jewelry, crafts, yard decor, plus more.",availability,availability,availability,availability
"Give it a try, no disappointment here.",quality,quality,quality,quality
"An expansive market with great, friendly vendors, live music and delicious eats! a great farmers market. tons of vendors with a wealth of produce, cheese, pastries, seafood flowers and more.",environment,environment,environment,environment
I was impressed with the bounty of produce that was available.,availability,availability,availability,availability
"I was able to purchase fresh ginger which is rare to find in the Midwest. beautiful flowers, fantastic corn. artisanal cheese products. jams, jellies, pickled veggies. even a seafood purveyor who also has a food truck at the market. there was a taco truck too with some authentic tacos/burritos.",availability,availability,availability,availability
"I bought amazing bread and pastries from a cute little woman from Nigeria. a band palyed Andean flute music all the while. if you want to take a break head to Bushel and Peck, a market/restaurant to relax. all in all a great market and fun place to bring a family.",environment,environment,environment,environment
Meh.,environment,environment,environment,environment
Not too many venders with things I'd buy.,environment,environment,quality,environment
Seemed a tad pricey.,environment,environment,environment,environment
Especially plants.,availability,environment,availability,availability
No music was playing at the time that we went.,environment,environment,environment,environment
No dogs anymore....very disappointing.,environment,environment,environment,environment
Dogs are people too.,environment,environment,environment,environment
Ha.,quality,environment,quality,quality
"I don't have one currently, but I like to see them :) Maybe as the summer begins more vendors will be there.",availability,availability,availability,availability
"Update: This market is no longer dog friendly as of Sept 6, 2014.",environment,environment,environment,environment
"However, this one is https://www.facebook.com/pages/Natures-Touch-Garden-Center/209712625716116 .",environment,environment,quality,environment
We have been to the two Janesville farmer's markets and we told Beloit is where we should go next.,environment,environment,environment,environment
"We took our dogs, but left them in the car.",environment,environment,environment,environment
(air on of course).,availability,environment,availability,availability
"As we rounded the corner ... dogs, dogs, dogs.",environment,environment,environment,environment
"Wow, it is dog friendly?",environment,environment,environment,environment
We quickly went back to the car and they were so excited.,environment,environment,safety,environment
"We all went to the farmers market, bought fresh local produce, listened to music, drank some fantastic lemon aid and met all sorts of new canine friends.",environment,environment,environment,environment
"If you have dogs, people here love dogs.",environment,environment,environment,environment
Parents were stopping asking if their child could pet them.,environment,environment,quality,environment
"Little children were saying ""look at the dog"" all around us and every other dog.",environment,environment,safety,environment
There was even a police dog in the center greeting kids and families .. that's a first for us.,environment,environment,environment,environment
"At the end, I sat down with all my bags and my dog got away from me and a woman we met earlier, got his lease and said ""its all good"".",environment,environment,environment,environment
I was in doggy friendly heaven.,environment,environment,environment,environment
A good time was had by all!,quality,quality,quality,quality
The only thing I will do differently?,environment,environment,availability,environment
"Next time we will go earlier, get the shopping done, then enjoy all the canine friends.",environment,environment,environment,environment
"Every dog wants to stop and greet others, and is clogs up the isles",environment,environment,environment,environment
"https://www.facebook.com/BeloitFarmersMarket Happy days, beautiful people, beautiful music, delightful Beloit.",environment,environment,environment,environment
Farmers Market is simply not to be missed.,environment,environment,environment,environment
"The many vendors, from food, vegetable, fruit, meats, cheese...to soap makers, crafters, musicians, flowers galore! its the perfect start to ensure a great weekend!",availability,availability,availability,availability
Another reason to love Wisconsin and relish in the charm that is Beloit Love the options here.,environment,quality,environment,environment
Everything from Mushrooms to Goat Cheese to Soy,availability,availability,availability,availability
"VENDORS: Everything from Organic tomatoes, berries, wheatgrass, mushrooms, pastes and spreads, jams and jellies, cheese, tofu, soy noodles, fresh flowers, etc.",availability,availability,availability,availability
ACCESSIBILITY: The market is right below the Morse Red Line Station and is one street level,environment,environment,environment,environment
"PRICING: Pricing is reasonable, $2 for a wheatgrass plant, $7 for spiced tofu, $5 for a medium sized container of blueberries.",environment,environment,environment,environment
"LINK card is accepted here, and they have a program that will match any LINK purchases in order to increase access to fresh food and organic products for LINK holders.",environment,quality,quality,quality
Very much appreciated.,environment,environment,environment,environment
"My neighborhood Farmers market Always good selections and great people bringing a wonderful selection of food; flowers and yummy options Now that I live around the corner, I enjoy making my weekly visit to the market.",availability,availability,environment,availability
I pretty much only buy Elsie's pies (2 for $10).,environment,environment,quality,environment
There's a lot of nice options but it's really too expensive for me.,environment,environment,environment,environment
"I wish I could afford a half dozen of farm fresh duck eggs, but I'm on the 99cent budget.",quality,quality,quality,quality
"Due to the prices, I mostly just window shop and smell the soaps, but it's a nice way to spend a Sunday morning, nonetheless.",environment,environment,environment,environment
I typically love this place buying fresh vegetables and talking to the vendors and friends at this weekly event; however today was an exception.,environment,quality,environment,environment
I'm at the Farmers Market this morning in Rogers Park I innocently asked a vendor what kind of tomato were these bunch of brownish tomatoes?,availability,availability,environment,availability
"The girl behind the table stone cold smugly said and I quote: ""I don't know what it is, I just sell it.""",environment,quality,availability,N/A
Being a sales guy I was sickened by her tone and unprofessionalism.,environment,environment,quality,environment
Great market with a convenient location.,environment,environment,environment,environment
"Here you'll find a broad selection of produce, cheese, meet, baked goods...you name it!",availability,availability,availability,availability
"If it grows within 200 miles of Chicago, chances are it's for sale here on Sunday morning!",quality,quality,quality,quality
"In addition to all kinds of fresh fruit and veggies, you can get your weekly supply of empanadas, popsicles, cookies and amazing fresh-cut flowers.",availability,availability,availability,availability
Many weekends I can do most of my grocery shopping right here.,environment,environment,environment,environment
Many vendors take credit cards and you can always swipe your card at the payment table for market tokens to make shopping easy and convenient.,environment,environment,environment,environment
Dog and kid friendly too!,environment,environment,environment,environment
What some people may not know is that this market also supports much needed food access programs in the community.,environment,environment,environment,environment
So you can fill your 'fridge and give back at the same time.,environment,quality,environment,environment
My favorite farmers market in the city I am so excited...,environment,environment,environment,environment
Woke super early and getting ready for opening day at the Glenwood Sunday Market!!!,environment,environment,environment,environment
I'm eager to check out the new lineup the Council worked so hard to gather.,environment,environment,quality,environment
It's so wonderful that the most organic market in Illinois is opening for the season.,quality,quality,quality,quality
Earth's First Harvest...Midnight Sun...Fresh Tomate...Dirt Girl...Hardin Family Farms...B True...Katherine Anne...,environment,availability,environment,environment
The list goes on!!,environment,environment,environment,environment
I can't wait to see old friends and meet new ones!!,environment,environment,environment,environment
Getting late gotta run.,environment,environment,environment,environment
Bringing bags for scads of lovely fresh food.,environment,quality,quality,quality
Worth the wait The market is in the small street Glenwood next to the Morse train tracks.,environment,environment,environment,environment
"You can find miscellaneous items from kale, strawberries, raspberries, whole wheat espresso brownies which I thought were excellent.",availability,availability,availability,availability
"I purchased an herb, lime basil and can't wait to see it grow.",environment,quality,availability,N/A
The people are super friendly and they do take credit cards.,environment,environment,environment,environment
I wish they would have more fresh fruits...,availability,availability,availability,availability
Yes i still shop at the Glenwood Sunday Farmers Market.,environment,environment,environment,environment
My latest discovery is already done and marinated tofu.,availability,environment,quality,N/A
One container is $6 or two for $10.,environment,environment,quality,environment
I love that the tofu is already cooked and flavored for me and ready to go.,environment,environment,quality,environment
I get the very spicy flavor.,quality,quality,quality,quality
I eat it for lunch or dinner.,environment,environment,environment,environment
"I also like the fresh pesto stand again same price, one container is $6 or two for $10, very garlicky so watch out, don't eat it before a date or job interview.",environment,environment,quality,environment
I find the vegetable stands very expensive and the tomatoes don't have that rich tomato smell so I am not too sure about them.,availability,availability,availability,availability
"Take away the degenerate alcoholics, the hazy cigarette musk, and the basement indoor housing, and you have a place where everyone knows your name.",environment,environment,environment,environment
I true neighborhood farmer's market with a surprising variety of vendors (given its size) that should keep your fridge stocked for the week.,environment,availability,environment,environment
"Dogs and kids galore, and strangely easy to find parking.",environment,environment,environment,environment
Come say hello.,environment,environment,quality,environment
"Eh, you know?",quality,quality,quality,quality
"This is just one of those ""eh"" places.",environment,environment,environment,environment
"It's way, way too crowded for the amount of vendors.",environment,environment,environment,environment
"On one hand, it's a lot of the vendors people are familiar with for a lot of the things you want.",environment,environment,environment,environment
"On the other hand, they have about 1/3rd of a card table to put their stuff on (and you have about the same amount of room to move around.",environment,environment,environment,environment
"I'm happy to explore farmers markets as I love them, but this is just blah.",environment,environment,environment,environment
"After making the short loop around everything twice, I wanted to get out of there more than I wanted to even stay and take in the experience.",environment,environment,environment,environment
I don't get what the charm is of this place - I really don't see any.,environment,environment,environment,environment
"It's not horrible, but it's just not....good.",quality,quality,quality,quality
"On the one hand, it is a weak version of a market.",environment,environment,environment,environment
"On the other hand, it's their first year, and as with ice cream shops and used bookstores, you can never have too many.",availability,availability,environment,availability
"(You could also apply the ""pizza and sex"" rule here.)",environment,environment,availability,environment
So I am glad to have them in the neighborhood.,environment,environment,environment,environment
"I would like to see some more variety or simply more quantity of vendors, although I realize that the alley/train viaduct space is limiting.",availability,availability,availability,availability
Let's see how they evolve and improve over the next couple of years.,environment,environment,environment,environment
"I've visited twice so far this season, once right after 9am and once around noon.",environment,environment,environment,environment
"On the first occasion, I was disappointed to see several vendors not yet ready for business, and in one case not even present.",environment,environment,environment,environment
"Another early criticism that I had read, however, was dispelled during my second visit--that some vendors run out of goods too quickly.",availability,availability,availability,availability
Every stand that I saw yesterday was well stocked.,environment,environment,safety,environment
"Sadly, I don't see too many actual farmers at this market, but there are a few non-leafy highlights.",environment,environment,environment,environment
"For example, the practically ubiquitous Bennison's Bakery and Mint Creek Farms will outfit you with breads or sweets and sheep or goat meat, respectively.",availability,availability,availability,availability
"But also there are a few places that you've probably never heard of, such as Sweet Attila's Bake Shop, available only online or at the market.",environment,environment,environment,environment
"They make a pretty darn good lemon sandwich cookie, but some of their other stuff is a little too pedestrian for the price.",environment,environment,environment,environment
"Or check out Crafthouse Market Goods for sausages: they have a decent bratwurst and an odd, fascinatingly overspiced ""pirate wurst.""",environment,environment,environment,environment
There was an outfit sampling drop-dead amazing Italian apple-cider doughnuts.,environment,environment,environment,environment
Uh-MAYzing.,environment,environment,Non-relevant,environment
"It was too warm to buy any, or their pizza or other hot food, but I am keeping them in mind for a Sunday lunch (and dessert) when cooler weather arrives.The market runs until October 17th, and I will definitely be back.",environment,environment,environment,environment
"Awesome market with friendly vendors, great organic products.",environment,environment,environment,environment
They take credit cards and Link.,environment,environment,environment,environment
So happy it's in my neighborhood!,environment,environment,environment,environment
"Glenwood Sunday Market is a fairly small farmer's market, but it has the necessities of any good farmers market: seasonal fruits and veggies, meat and dairy options, a bakery, and a few other options sprinkled throughout.",availability,availability,availability,availability
"I'm not sure of individual vendors names (I only know where they set up their booths), but here's what I make sure to get almost every Sunday in the summer: Eggs French Baguette (we'll either do bread, cheese and fruits for lunch or we'll eat it with pasta that night) Veggies (zucchini, kale, squash, green beans--all whenever they're available/in season) Fruit (blueberries in the early months, apples in the fall) Cider (when it is available)",availability,availability,availability,availability
"If we don't buy meat, we'll drop ~$20 for the week's haul.",environment,quality,quality,quality
"Not cheap, but not awful (fairly comparable to buying organic at Mariano's).",environment,quality,quality,quality
"Less often, but when we can, we'll get meat for the week from the vendors there: bacon, pork loin and shoulder, steaks, etc.",environment,environment,availability,environment
"It's certainly not the most economical way to buy meat, but it's incredible quality.",quality,quality,quality,quality
"I also finally stopped by the mushroom vendor at the end of this season, and really regret that I hadn't before.",availability,environment,availability,availability
The cheese guy that's there all the time is also wonderful.,quality,quality,quality,quality
Bring cash.,environment,environment,environment,environment
Came here at 8:15 last Sunday.,environment,environment,environment,environment
Had no idea they opened at 9.,environment,environment,environment,environment
All the tables were set up.,quality,environment,availability,N/A
The people were sitting there with wads of cash in their hands.,environment,environment,environment,environment
And they wouldn't sell us anything.,quality,quality,availability,quality
"Also, we're all about supporting our neighborhood, but the prices at the Glenwood market are $1-2 more than the Daley Plaza Farmers Market on Thursdays.",environment,environment,environment,environment
"When Rogers Park is more than downtown, something is very, very wrong.",environment,environment,environment,environment
Summer has officially started now that the market's back!,environment,environment,environment,environment
Organic & locally grown veggies & meats & goodies.,quality,quality,quality,quality
It's a great little market.,environment,environment,environment,environment
"No it's not the biggest, but there's a great variety of produce and meats.",availability,availability,availability,availability
This year they're doing lots of events too.,environment,environment,environment,environment
Last weekend was all you can eat BBQ.,environment,environment,quality,environment
They did a chili cook-off during the winter market; I can wait to see what else they'll be doing.,environment,environment,environment,environment
"Also, there's a truffle stand with free samples.",environment,environment,availability,environment
Need I say more?,environment,environment,availability,environment
"Hear ye, Hear ye, Hear ye...come one, come all to the newest farmer's market in town.",environment,environment,environment,environment
The right honorable Rogers Park invites you to the city's greenest market in the fair city of Chicago!,environment,environment,environment,environment
All of the farmers are organic growers or are in the process of transitioning to organic.,quality,quality,quality,quality
"Being the FM fanatic that I am, I just had to check out this brand spanking new one.",environment,environment,environment,environment
I am telling you...I have a problem.,environment,environment,safety,environment
Upon arriving at the corner of Glenwood & Morse...you could just feel the excitement (truly it was palpable).,environment,environment,environment,environment
"As I arrived about 10 mins before the opening, a crowd had already gathered...people eagerly waiting with the reusable bags for the ribbon cutting ceremony (nice touch!).",environment,environment,environment,environment
The Alderman was there with his wife to say a few words and then poof the flood gates opened.,environment,environment,environment,environment
"Now the market...well, being the 1st day & all, there are definitely some kinks that need to be worked out.",environment,environment,safety,environment
"For instance, it should open on time, the vendors should be there & ready BEFORE the market opens, the cars should be moved way before the market opens, the information booth should be set up & ready to go at least 30 mins before opening time, and most importantly, the vendors should have their booths well manned...poor ladies working the bread booth, it was swamped!",environment,environment,environment,environment
"I am sure as the weeks go by, the kinks will get smoothed out and the market will be top notch.",environment,environment,environment,environment
This is the definition of neighborhood FM...it is small and quaint.,environment,environment,environment,environment
"Now, I am bit spoiled with the Evanston Market...it is spacious and well stocked.",environment,environment,safety,environment
"However, the people are friendly & the vendors are super excited to show you what they have.",environment,environment,environment,environment
They should be as it is quality stuff.,quality,quality,quality,quality
"I got a few things here, but I know that it will not satisfy my list of needs for FM food...so this will serve as my supplemental FM.",environment,availability,environment,environment
"Overall, I do recommend checking this place out, however it is not going to stock you pantry just yet.",environment,environment,environment,environment
"Plus, this is a great neighborhood to check out and the market is just off the Redline at Morse...pretty sweet!",environment,environment,environment,environment
Just want to comment on some of the comments so far.,environment,environment,quality,environment
"Full disclosure, I am the Marketing Chair for GSM and am on the board and I am an unabashed fan of our lil' ol' market.",environment,environment,environment,environment
"Personally, I call it the little market that could!",environment,environment,environment,environment
"It is true that the first day, our vendors were taken by surprise with the turnout.",environment,environment,environment,environment
There were 1000+ people there that first Sunday.,environment,environment,environment,environment
We got feedback that they had never seen anything like this on an opening day of a new neighborhood market.,environment,environment,environment,environment
Rogers Park just went and exceeded their expectations!,environment,environment,environment,environment
The other thing our vendors have told us they have not experienced before is the level of enthusiasm and community support.,environment,environment,environment,environment
We have volunteers showing up at 7am Sunday to help vendors unload!,environment,environment,availability,environment
The truth is we have a farmers' market desert in RP and the demand is huge- we and our vendors are doing our best to meet that demand.,environment,availability,environment,environment
"We are actively seeking organic fruit growers, however people looking for fruit should keep in mind that it is still early in this region for fruit.",availability,availability,quality,availability
More will be coming as the season continues.,environment,environment,availability,environment
"Since opening day, we have added several more vendors and the block is now full.",environment,environment,availability,environment
"Also, vendors have increased supplies and far less people are going away empty.",environment,environment,environment,environment
The first day we did have an issue with cars being towed but that has improved greatly also.,environment,environment,environment,environment
Sheree Moratto is a fantastic Market Manager with a can do attiude and generous spirit.,environment,environment,environment,environment
I know the board appreciates your constructive feedback and I will pass it along to them.,availability,quality,availability,availability
We are working hard to meet the demands of the community and raise awareness about what local food means.,environment,environment,quality,environment
I can tell you all one thing.,environment,environment,quality,environment
You will not find a market with greater heart in the city than this one!,environment,environment,environment,environment
"Good, fun market.",environment,environment,environment,environment
"However, for now I'd call it a neighborhood market rather than a farmer's market.",environment,environment,environment,environment
"So far, there is less produce and more processed products (chocolates, jams, cheeses etc.).",availability,availability,availability,availability
"Stuff seems to run out quickly (chicken eggs were gone when I arrived at 9:20), and a lot of lines.",quality,quality,safety,quality
"Everyone is friendly, though, and the market is a fun place to be on a Sunday Morning.",environment,environment,environment,environment
"If you're looking for tons of great produce sold by farmers with dirt under their nails, go to Evanston.",availability,quality,quality,quality
"However, if your in Rogers Park and looking for quality local food products, the Glenwood Sunday Market is good, and hopefully keeps getting better.",quality,quality,quality,quality
"As a Rogers Park native, I couldn't be more thrilled when I started seeing the ""Glenwood Sunday Market"" flyers spring up around the neighborhood.",environment,environment,environment,environment
"I've been there the past two Sundays, on the early side, and it's been bustling.",environment,environment,quality,environment
"Yes, the meat is frozen, but that is nice for those of use who live alone and can't go through that much meat at once!",environment,availability,availability,availability
"I snagged some preserves, salsa, and granola for my first market harvest.",environment,environment,environment,environment
"Next week, I hope to branch out a little more.",environment,environment,environment,environment
"Some of the vendors offer samples, which is always fantastic.",environment,environment,availability,environment
I'm much more willing to shell out the $ if I know I'll enjoy the product.,quality,quality,quality,quality
Random - last week there was a knight challenging people to fight.,environment,environment,environment,environment
I wish someone would've taken him up on it.,environment,environment,environment,environment
Love this market I can walk out my door and buy fresh fruit and veggies for far less than I would pay at the grocery store.,quality,quality,quality,quality
I'm very committed to my relationship with my CSA but after walking halfway to a dinner where I was responsible for bringing tomatoes without the tomatoes I needed a quick pit stop.,availability,availability,availability,availability
"The market is small, tiny compared to Green City Market in Lincoln Park or even the Daley Plaza Market but has a good variety of vendors.",availability,availability,environment,availability
"Multiple farm stands, a stall selling canned goods, a butcher, and fresh made pasta.",quality,quality,availability,quality
I grabbed perfect cherry tomatoes from a stall I didn't get the name of (eeek) and on a whim also got half a load of garlic bread from pHlour bakery and cafe.,availability,availability,availability,availability
The bread was prize worth.,availability,quality,quality,quality
If you're lucky enough to get off at Southport get your produce here!,quality,quality,quality,quality
"Every year my wife, son and I go to pick apples here, and every year we have a blast.",environment,availability,quality,N/A
"It is usually rainy, cold and wonderful as we slog through the dirt road along the rows of apple trees to the back of the orchard where we start to work our way back.",environment,environment,safety,environment
"We have a system because by the time we get through a couple of rows, our half peck bag is almost full and heavy.",quality,environment,environment,environment
This is a great experience with your family and can lead to many a pie and baked apple treats in the following weeks.,environment,environment,availability,environment
"They have a little petting zoo for the kids, a hay maze and the worlds coolest idea, an apple sling where you launch over-ripe giant apples into a field to watch them explode with super-grossness.",environment,environment,environment,environment
"The gift shop is chock full of treats, and there is a counter where you can get fresh baked apple items and cider donuts.",availability,availability,availability,availability
"If you are looking for a family bonding experience, this is a great place to do it.",environment,environment,environment,environment
Once a year I enjoy taking my kids to get donuts at the orchard.,environment,environment,environment,environment
This year we went back to Curran's.,environment,environment,safety,environment
I requested a dozen warm donuts.,environment,environment,availability,environment
The middle aged cashier looked at me as if I asked for an organ transplant on the spot.,environment,environment,quality,environment
She went on about how they are 425 degrees and she can't serve them that hot.,environment,environment,environment,environment
"Clearly, she wasn't listening to my request.",environment,environment,environment,environment
Having worked a cash register in my first job years ago I'm always polite to folks dealing with the public.,environment,environment,environment,environment
She said the next batch would be out in 20-30 minutes.,environment,environment,environment,environment
I waited.,environment,environment,environment,environment
Upon coming back to register she said the ones they had were as warm as they will get.,environment,environment,environment,environment
