No.,Tweet,Label,Words,Notes,Contributor
505,"Open every Saturday now through October 27, the Aurora Farmers Market is a fun destination in Illinois for a peaceful time! https://t.co/C6qfcZpxbz",environment,"fun, peaceful",,
506,"if you're out and about in Metropolis this morning be sure to get out and visit the Farmers Market! 

it's located at the EZ Portable Buildings Metropolis, IL lot ... between McDonald's and Fort Massac State Park.. https://t.co/r9mFicaBRA",NR,,Business,
507,"HOW PROXIMITY MARKETING CAN HELP YOUR BUSINESS AT FARMERS MARKETS, CRAFT FAIRS AND FESTIVALS #askdrmemo #mobilemarketing #craftfair @askdrmemo https://t.co/uoGVvWRptm",NR,,Business,
508,"In honor of the Illinois Farmers Market Association's upcoming Summer Feast fundraiser gala at bleuroot restaurant, we have an excellent tomato and peach panzanella salad recipe from owner and chef Maria... https://t.co/5IgrUSEiF5",NR,,Business,
509,"Green City Market Lincoln Park outdoor season operates May - October every Wednesday and Saturday from 7am to 1pm! Make sure to stop by your local famers market! #SummerTime #FreshFood #Farmersmarket #LincolnPark

https://t.co/LzN1EcvzRI",NR,,Business,
510,"Check out the top events for the week in the McKinley Park neighborhood!
https://t.co/wxzHtPRAv2",environment,events,,
511,#soapjunkii #chicagosoapmaker #chicagofarmersmarkets #divisionstreetfarmersmarket @ Division Street Farmers Market https://t.co/UI2HU452fn,NR,,,
512,"Backstage at Cheeseman Park in Denver this morning. Now we're in Grand Junction... Palisade Farmers Market tomorrow, 9:30-1:30. https://t.co/X5uEclde7O",NR,,,
513,Choose your local farmers market to enjoy richer and more nutritious produce - https://t.co/YeKDgrXHCW https://t.co/1Ticw1Zm86,quality,"richer, nutritious",,
514,Nothing gives away that I’m having a bad mental health day like me spending 30 dollars on lamb shoulder at the farmers market,NR,,,
515,"Meet us in Hyde Park for the 15th Annual #SoundSystemBlockPark ✨ It's the place to be for any and everybody this Saturday. Don't be the one who missed out 😉
.
.
.
.
.
.
#smteas #tea #chicagotea #farmersmarket... https://t.co/Bj1fEf7sSm",NR,,Business,
516,"@lorcanD Yes, whole wheat sourdough from farmers market, which warrants real butter.",quality,real,availability,
517,Our first Farmers Market tomorrow at 1402 W Grand! 5-7 https://t.co/9hPppfKbKP @Chicagowestloop @WestTownChicago @NobleSquareChi,NR,,,
518,"@AaronMartinson @RanchDressingTN @kathythuman @TeresaBerkowitz @PRebeccaK @LindaMarkss @thomaskaine5 @madmissmattie You've never been to a farmers market, or a local produce stand? Ever go through Vidalia Ga. and see the farm stands selling onions?
  Never been to a meat market, selling local beef, pork, chicken?",NR,,,
519,"Nido will have a booth tomorrow as part of the Artisan Collective at Batavia’s Farmers Market.  Head on over to River Street in downtown Batavia, Saturday 8am-12pm.
✨
I’ll be selling my new healing bracelets,... https://t.co/sJBVwKE48w",NR,,Business,
520,Happy Indigenous Nations Day 🙄🌈🇲🇽🔥 @ Logan Square Farmers Market https://t.co/HyPMWyuplg,NR,,Business,
521,Come visit our booth and visit with our cadets!  Downtown Farmers market today until noon!,NR,,Business,
522,Deerfield Farmers Market set to expand produce offerings https://t.co/96kGoDuUwx,NR,,,
523,"Jeremy and I woke up at 7 am and went to the Urbana Farmers Market. Who even are we?? 😂
Tomatos for days!! 
#urbanafarmersmarket #urbana #illini #tomatoes #freshproduce #peachestoo… https://t.co/zcfdoqDN4U",availability,tomatos,,
524,You've seen the glorious melting wheel of cheese.... now prepare for some of the best hand-cranked sausage you'll find around the city. Got any guesses? Find out next when our #FarmersMarket episode continues on @WGNTV #ChicagosBest #raclette https://t.co/1DR5TYl1jC,quality,"best, glorious",Business,
525,"Great haul at the farmers market today. Plus, elotes and tamale. https://t.co/PVwMfmuzWD",availability,"elotes, tamale",,
526,"Come see us at the Wauconda Farmers Market Thursday, August 9 from 3-7 pm. We will have some merchandise to sell and some interesting objects to check out. See what we are up to! (Photo: Back of the Cook House in 1950) #wauconda #farmersmarket #letsgolakecounty #FarmLife https://t.co/9q625KGFhr",NR,,Business,
527,Ravinia Farmers Market Opens June 6 https://t.co/BpLGHxIaJX,NR,,Business,
528,Upcoming Event: Hinsdale Farmers Market 2018 Season - 10/1/2018  https://t.co/IH79ak2Hcn,NR,,Business,
529,@FatimaAlexis2 Let’s go to the farmers market!,NR,,,
530,"These are in total, all the things that are at a farmers market: vegetables, fruit, honey, flowers, and maybe if you’re lucky someone will be like selling some lotion",availability,"all, at, vegetables, fruits, selling",,
531,"@StudMuffinSays @Starrcast18 Hey, I live in the Midwest! All our #Wrestling takes place in barns and farmers markets!",environment,"in, wrestling",,
532,"Forgot to post the Sunday farmers market brunch I made for visiting family: poached eggs with local tomatoes, hen of the woods mushrooms, melted leeks, feta; tart of ground cherries & blueberries with hazelnut frangipane. https://t.co/5ivxOlqScy",NR,,,
533,"Anyone wanting to know how to become a vendor at our farmers market at Hannibal Central Park Farmers' Market, here is a link. https://t.co/yIQrmmHo5F",NR,,Business,
534,"Only a few weeks left to enjoy the Hyde Park #FarmersMarket @HarperCourt. Find apples, pumpkins, mums & more! Open until 1pm today #HydeParkChicago https://t.co/Lzk6qAVaf7",availability,"apples, find, pumpkin",Business,
535,"Looks like, smells like, tastes like summer🍍☀️😋 Try TROPICAL TANGO at the Farmers Markets in Mt Prospect 8/5, Wicker Park 8/12 and in Park Ridge on 8/18 #guiltlessguac #vegan #vegetarian… https://t.co/qobNOMMHGE",NR,,Business,
536,Have some Farmers Market’s coming up? What if you could message every phone within 200 yards? https://t.co/AtbJMpaH0y #advertising #fairs #farmer #farmers #farmersmarkets #localbusiness #market #marketing #organic #proximity #proximitymarketing #specials #store #localfood https://t.co/v2mQPvGqHb,convenience,proximity,,
537,"@lexintheA I look at every single store in Chicago. Chain grocery stores, independent grocers, farmers market... it’s like they don’t exist here. I honestly didn’t think we had them anywhere up north till I saw them this weekend in northern MI! 😭",availability,have,,
538,5 events in @ourwickerpark Sunday @mrdavemusic @wickerparksings #farmersmarket @HawkeyChiTown @WickerParkComm @peacelovegoat @ward32chicago @Alderman_Moreno @WPBCC @WeAreWPB @ChicagoParks @MayorEmanuel @The606Chicago @TheRobeyGH @ChicagoCAPS14 https://t.co/qaw8I7KKu2 https://t.co/OR8x2d4mBJ,environment,events,,
539,"It’s no surprise that private well owners, in general, are hard to reach. This is because they can come from every social, economic, and educational demographic. https://t.co/ZWwsyCWqOK

Alyson McCann at @URIWater shares how she reaches well owners with her private well program.",convenience,reach,,
540,Heading to the farmers market where I know I’ll get some sort of baked good so I put a fork in my purse. I am Joey.,availability,get some,,
541,Rain or shine we are doing this @LandConnection Champaign Farmers Market @21stShow at 5 pm! Please come join us (we’ve moved inside next to the market) https://t.co/cZ65PlEavt,NR,,Business,
542,"Presto Pesto has THE best Gluten Free options around! Stop by the Farmers Markets this weekend and let us let you taste the Gluten Free Goodness!!
Saturday: Venice Farmers Market at Avenue Des... https://t.co/cHK3LoRQ19",quality,Gluten Free,,
543,You know it’s the flu when you’re so exhausted from walking one block to the farmers market that you genuinely consider using taskrabbit to have someone put the flowers you bought in a vase 🤒 https://t.co/eMICVFe44N,NR,,,
544,"@Bratts29 Been held on Fridays since 1982. We considered moving days but many of our vendors who participate could not change days. If you can't make it to @SchaumburgIL Farmers Market, check out weekend markets nearby at https://t.co/PLnKZ8WhgU",NR,,Business,
545,"Don't forget to check out this week's Farmers' Market newsletter! 
https://t.co/vrLiRzIDXs.",NR,,,
546,Legal Fight Continues for Farmer Banned from Market Over Objecting to Gay Weddings at His Orchard  https://t.co/voQj4uibpV,politics,gay,,
547,I’m thinking about going to a farmers market this morning. It’s 45 degrees and raining... still thinking... ummm.. still..🤔,NR,,,
548,"One of the events that makes summer and fall in Oak Park so delightful is the Oak Park Farmers' Market. Come stock up on fresh local veggies, cheeses, honey, and more. https://t.co/h30nSwmQOx",quality,"fresh, local",,
549,Hopefully it warms up by then. https://t.co/BCcQPg26uE,NR,,,
550,Every Sunday starting June 10th! Enjoy the fabulous Farmer's market opening at 7:30am in @Downtownskokie #SkokieIL https://t.co/OUVd11uNpA https://t.co/RMM7OYcXtn,NR,,Business,
551,I only miss Woodstock for the farmers market and $5 sunflower bouquets🌻🌞,economics,$,,
552,"What’s up rockstars?  🎟🎸
behgaye #stlouis #stl #soulard @ Soulard Farmers Market https://t.co/jckROhQ3gK",NR,,,
553,"During a hard day of garage sale visits, stop by the MG Farmers' Market for breakfast, lunch or some fresh fruit or baked goods on Saturday from 8am to 1pm. https://t.co/9o3NzhHyXK",NR,,Business,
554,You know what’s happening today? @imancentral Fresh Beats & Eats Farmers Market today 2pm to 6pm. Make sure you come by.,NR,,Business,
555,@suttondancer @ElisCheesecake @TasteofChi @WaitressMusical @ChooseChicago The Farmers Market is every Thursday! Make sure to follow @ElisCheesecake social media to stay up to date on events 😀,NR,,Business,
556,Drinking a Farmers Market Series Rhubarb Rice Lager by @moodytongue at @moodytongue — https://t.co/Cvb8RVVIYc,NR,,,
557,"Have you made a visit to the DeKalb Farmers Market yet this year? Head down to the Van Buer Plaza this Thursday from 10am - 2pm! https://t.co/AZBZwLJ1uR 

#DeKalbCounty #FarmersMarket",NR,,Business,
558,Farmers Market in Wauconda tomorrow! https://t.co/fsNAlPwIUZ,NR,,,
559,"#HuskieNation found me at the @cityofdekalb_IL Farmers Market today! Who will I see at Six Flags - Great America on Saturday? 
#ISpyVictorE https://t.co/nGYYngP4D5",NR,,,
560,"The 95th Street Farmers Market is now underway, 3-7 p.m. today and every Thursday through Sept. 27. At the 95th Street Library parking lot, 3015 Cedar Glade Drive. https://t.co/G7QJr9o19x",NR,,,
561,Farmers markets guide: Your complete Chicago and suburban listings. @EOwensSchiele for @chicagotribune https://t.co/fB056NuDt7 https://t.co/eaH1uWFigR,NR,,,
562,Outdoor #yoga w/Dr.A* 🕉 On Saturdays at 11:30am - Join us!! Sun Salutation🌞 xoxo — at 61st Street Farmers Market https://t.co/ZwSPAHyPn5,environment,"outdoor, yoga",,
563,"Street Food views from @tasteofthephilippines! Catch us devouring Lumpia’s from the #LumpiaLady today. 🙌 #LikeFoodChicago
📸: @likefoodchicago
📍: @tasteofthephilippines
🌁: Daley Plaza Farmers Market https://t.co/ACB9nSBjCh https://t.co/FiQISo9scO",environment,"views, street food",,
564,"Why you should support your local farmers market #1:
Farmers markets grant you the opportunity to get a taste of REAL FLAVOR. Fruits are allowed to become fully ripe, and are brought straight from the field to the you. You're always guaranteed to get the best there is to offer! https://t.co/5j2SMzApBS",quality,"REAL, ripe",,
565,"Enjoy fresh fruit, vegetables, and flowers at the weekly Farmers Market this Saturday, October 6 from 7:30 a.m. – 12:30 p.m. Listen to live music by Tim McCarthy while you shop! #TinleyLifeAmplified https://t.co/u9f5xvVl4t",quality,fresh,,
566,“If you visit your local farmers market during… https://t.co/Eh5O3VzQmi,NR,,,
567,Join us Saturday for what should be a beautiful Fall day at the Downtown Bloomington Farmers' Market. Check out our newsletter to find out what is doing on at the Market. https://t.co/xYBogFmUSv https://t.co/xYBogFmUSv,environment,"beautiful, fall",,
568,"Learn more about Ed Clark Music Services's upcoming shows.

Illinois Products Farmers' Market 5-7
June 7
July 26
Aug. 30 
Oct. 11
 
Robbie’s 
Ed Clark Trio 
June 8, 5:30-7:30

https://t.co/yYcuuxcuxb
@EdClarkPiano https://t.co/9hqlObacM3",environment,"music, shows",,
569,"Come out to @towergrovefarmersmarket tomorrow, Saturday, June 23rd.  We will be at Tower Grove Park in St. Louis from 8 to 12:30.   Great Steak and Ground Beef Specials Available Saturday!  #Farmersmarket #familyfun https://t.co/158Y2nRE3d",NR,,Business,
570,nice to see farmers market back on at Daley along with that churro food truck https://t.co/BuMqSOblPQ,NR,,,
571,Upcoming Event: Huntley Farmers Market - 7/28/2018  https://t.co/1bTFV38KOT,environment,event,,
572,Want to know where the farmers markets are in the Sauk Valley? We've got a list for you ... https://t.co/bSbwziEm8J,NR,,,
573,Choose your local #FarmersMarket to boost your local economy - https://t.co/Hd6QDElfMY https://t.co/mRFcpPPk2O,economics,economy,,
574,"HOW PROXIMITY MARKETING CAN HELP YOUR BUSINESS AT FARMERS MARKETS, CRAFT FAIRS AND FESTIVALS #askdrmemo #mobilemarketing #craftfair @drmemogamboa https://t.co/GQmbCGBaKi",convenience,proximity,,
575,Christened the new tote bag by taking it to the farmers market! https://t.co/WU6ZpSmZpd,NR,,,
576,"Farmers markets 2018:The ultimate guide about Chicago-area farmers markets https://t.co/Y2yGmqOYyF via @Suntimes
 #Chicago #FarmersMarkets",NR,,,
577,"Join us this afternoon for a spiritual recharge. Jum'ah prayer begins At 1pm, followed by our Farmers Market. https://t.co/yiK7eKy0zY",NR,,,
578,"What a beautiful morning to come out to the Libertyville's Farmers Market. 
We're here today from 7am-1pm 
Come and pickup your jar or two of #rollickingbuckaroopepperjam 
Checkout our website for upcoming events https://t.co/GUyhF5oN5L",NR,,,
579,Plan to visit the oldest farmer's market in Illinois with this guide via @onlyinyourstate: https://t.co/aXP3oWF3Fk,NR,,,
580,High key really want to go to the farmers market soon.,NR,,,
581,"Looking for something to do this weekend? Take your family to a local farmers market and meet the folks growing your produce:

https://t.co/L193lqvvji https://t.co/xB28DQZslY",environment,meet,,
582,"Tune in to @whms975 around 8:20 for Champaign Farmers Market updates from Sarah! Don’t forget, it’s End of Month Bonus day! Market runs from 3:30-6:30pm in the parking lot by Neil & Main in Downtown Champaign. https://t.co/eiGOnEbD8e https://t.co/wyp6ohuhwo",NR,,,
583,Tashis in town!! #chitown #logansquare #blonde #brunette @ Logan Square Farmers Market https://t.co/QxHIJ6ES3c,NR,,,
584,FYI! The @UChicagoMed Farm Fresh Friday Farmers Market will be in Goldblatt Pavilion Lobby today (850 E 59th St.) from 10:00 AM - 2:00 PM. #farmfreshfridays #farmersmarket https://t.co/Suc9J81kKT,environment,,,
585,"Tomorrow we will be at Plant Chicago Farmers Market: April Edition serving Tacos: BBQ Stk, Mole Verde Chik'n and Black Bean Sweet Potato.  Of course we'll have our award winning Mac n Cheese as well.",NR,,,
586,"Thanks to @ILStewards: ""As farmers markets open for the season across Illinois, vendors will find it easier to do business thanks to recent changes for cottage food  and related laws."" via @AgNews https://t.co/5IlkHGb15v",economics,business,,
587,#FitnessTip: Take advantage of your local #FarmersMarket to get healthier fruits and veggies. https://t.co/HZc4q5vbOP https://t.co/crlJHXtE9J,quality,healthier,,
588,Bobby marketstall is handing out surplus bushels. Grab one now! https://t.co/f7ixTLrcci,availability,surplus,,
589,See how our local farmers markets measure up to others around the world. https://t.co/ABVlwgw5uP,NR,,,
590,"Stop by The Venice Farmers Market & The History Park Farmers Market Sat & Sun for some GLUTEN FREE PIZZA topped off with PRESTO PESTO!
Saturday:Venice Farmers Market,Avenue Des Parques,Venice,FL 8am-Noon
Sunday:History Park Farmers Market,501 Shreve Street,Punta Gorda,FL 9am-1pm https://t.co/1q5dAPpKzR",NR,,,
591,"This week's lineup!

Today/Wednesday 3-7 pm Farmers Market at St. John's - Naperville, Illinois

Thursday 3-7 pm #95thStreetFarmersMarket @ Naperville Public Library's 95th Street Branch

Friday 6-10 pm Eric In The... https://t.co/7exhhfCz9Z",environment,lineup,,
592,"It’s National Farmers Market Week! Put your money where your market is and pick up the cream of the crop in Alton, Jerseyville, Wood River and Brighton.
•
•
•
•
•
•
#VisitAlton #ExploreGreatRivers #NationalFarmersMarketWeek #FarmersMarkets #FarmersMarket #EnjoyIllinois #… https://t.co/Wpg4TggzgA",quality,cream of crop,,
593,"-hit the farmers market with @AnnaBethTB today, putting away groceries-",NR,,,
594,"The Champaign Farmers Market opens in 2 weeks, but you can get an early taste tomorrow at @WatsonsChicken from 5-7pm at our first pre-season pop-up market! https://t.co/y2BkIYQXo3",NR,,,
595,"Tamales Express, a Riverside Farmers Market vendor is hiring for market season. Anyone want to make some extra cash? https://t.co/NabK5GJZDu",economics,"hiring, cash",,
596,"Start your weekend with a visit to the 61st Street #FarmersMarket, located at 61st/Dorchester. Open from 9am-2pm. #Woodlawn #HydeParkChicago https://t.co/iTuOO6nR5K",NR,,,
597,"Fun for all ages is planned at the #OakPark Farmers' Market this Saturday. @chicagobotanic will be on hand to host an activity for kids, and a chef from @AutreMondeCafe is slated to host a cooking demonstration from 9-11 am. Find complete Market details at https://t.co/pEEz7l023M https://t.co/7M6R5QrJ3y",environment,fun,,
598,Fall Fun at the Skokie Farmers’ Market https://t.co/dgs1QzH0kU,environment,fun,,
599,"In town? Start your Labor Day weekend with a visit to the 61st Street #FarmersMarket, located at 61st/Dorchester. Open from 9am-2pm. #Woodlawn #HydeParkChicago https://t.co/EsCPdzp5wo",NR,,,
600,"Parents: “Ooh, what’s that, looks like a farmers market”

Ms.5: “WE’RE NOT GOING THERE”",NR,,,
601,#preppersproduce #preppingainteasy #gardening #vegetarian #vegan #farmersmarket #urbanfarming hidden fruits @ Preppers Produce https://t.co/SNzmneicGD,availability,hidden fruits,,
602,SNAP shoppers can get up to $40 extra to spend on fresh produce this week at the Champaign Farmers Market! We’re open Tuesday from 3:30-6:30 in the parking lot by Neil & Main in Downtown Champaign. Let’s make this a great October for our local farmers! https://t.co/gJM6rb04OY https://t.co/ycCu2grYYG,economics,"SNAP, $",,
603,Our New Location and Dates the Farmers Market will be open. https://t.co/eUrGqWfeWw,NR,,,
604,Nothing like picking up some @heartofmercy bread from the farmers market on the way to my conference this morning #lovethiscity #iste18 https://t.co/UipUS0zev0,NR,,,
605,🍎 14 Central Illinois Farmers Markets you don't want to miss! → https://t.co/G9exfm1tX9 https://t.co/o227SjAYB4,NR,,,
606,South Shore Farmers Market 070818: https://t.co/MDxKgXoPm4 via @YouTube,NR,,,
607,ITS TIME FOR DUH DUH DUH THE LAST FARMERS MARKET OF THE YEAR,NR,,,
608,"We're kicking it down at Batavia Farmers' Market today! Stop by and get your caffeinated goods! 
#farmersmarket #BataviaIL #coffee https://t.co/D0wWqlEW29",NR,,,
609,This Wednesday marks the final Rantoul Farmers Market of the season! Grab ingredients and much more from 4-7! #VisitChampaign #OutsideofOrdinary https://t.co/AdSeCtSsnv https://t.co/eaq4MoWAzR,NR,,Business,
610,"Let Presto Pesto help you out this summer with some delicious Gluten Free recipes! Stop by this weekend and let us help!
Saturday: Venice Farmers Market at Avenue Des Parques, Venice, FL 8am- Noon
Sunday: History Park Farmers Market, 501 Shreve Street, Punta Gorda, FL 9am-1pm https://t.co/DIcxXL7PkL",NR,,Business,
611,There's farmers markets happening every day of the week in #Chicago and the suburbs! Check out the guide: https://t.co/OoyxnIrJOJ #ChicagoBestBets https://t.co/SQuzPVZeNP,NR,,Business,
612,Pilsen Community Farmers Market  https://t.co/U8qqRV0YYr,NR,,,
613,"This time of year, there are countless types of fun fruits and vegetables available at your local farmers market. How can you keep it fresh (literally!) & utilize your produce purchases in  a creative way? Try out... https://t.co/ETJTcHToES",NR,,Business,
614,WSSRA has been chosen for the Fresh Thyme Giving Bag Program for July! @ Fresh Thyme Farmers Markets https://t.co/MgnLacLixE,NR,,Business,
615,"Farmers Markets are getting ready to open for the season! 
https://t.co/X5R6C47VDT #chambana #eatlocal #farmersmarkets #farmtotable #chambanaeats",NR,,,
616,"Beet salad with mixed greens, fresh herbs, white balsamic vinaigrette, @rothcheese Butterkase cheese. #shoplocal #midwest #midwestchef #beets #salad #farmersmarket https://t.co/FiS88PrLxL",NR,,Business,
617,"This week in honor of July 4th, Bridge 'N Sweets Gourmet Bakery will be bringing American Flag Pies to the Crystal Lake Farmers Market in addition to Apple Fritters, Lemon Rays of… https://t.co/jy1WUlz2aZ",NR,,,
618,Come check out Karis for just a little while this morning at the Farmers Market in Mt Carmel. She’s shooting a film for Midland Institute all day spotlighting her Jars of Hope business.,NR,,,
619,"Locals! Pay me a visit, get some peaches, support your local public farmers market. https://t.co/7nZzWjKTPY",NR,,,
620,Wicker Park Bucktown Chamber’s Farmers Market https://t.co/iKEHcsYV6l,NR,,,
621,How you know it’s summer in Chicago. The @avillechamber Farmers Market in full bloom. https://t.co/nqxLXcZoOv,environment,bloom,,
622,"I'm at Fresh Thyme Farmers Market - @freshthymefm in Fairview Heights, IL https://t.co/jyiBKAYLdv",NR,,,
623,"Mainstays Farmers Market  Caledon Bowls w/ Lids

Just $4.99! https://t.co/BZpe2aAuQa

(Reg. $15.97 - Lowest Price!) https://t.co/wepUqIjDrT",economics,$,,
624,Stock the frig with freshness from Downtown Skokie's Farmers Market— Open Sunday! https://t.co/zC1TkYVztn https://t.co/adxW292llS,NR,,Business,
625,"12Aug18:  My first Illinois farmers market.  Now I’ve heard about a hill of beans, but a pile? 😜. Most of the fruits and veggies were okay, but some were damaged, and I’m very picky about… https://t.co/SGGJ5579EI",quality,"okay, damaged",,
626,Old North Farmers Market: one bouquet- $1 #oldnorthfarmersmarket #communitygarden #STLcommunity #locallygrown #zinnias #nofilter @ 13th Street Community Garden https://t.co/b0u5eZ2kWv,NR,,Business,
627,"Kidzeum of Health and Science is opening THIS SATURDAY!!! The celebration begins at 8am with ""Kid's Day"" at the Old Capitol Farmers Market and will carry on with a street party until 5pm! https://t.co/ajmbofgJtS",NR,,Business,
628,“Can’t you see us going to the farmers market or like a Mac Demarco show” hahahahahhahahahha,NR,,,
629,"HOW PROXIMITY MARKETING CAN HELP YOUR BUSINESS AT FARMERS MARKETS, CRAFT FAIRS AND FESTIVALS #askdrmemo #mobilemarketing #craftfair @drmemogamboa https://t.co/GQmbCGBaKi",NR,,Business,
630,"Farmer market adventures with @paigeworthy! (@ Lincoln Square Farmers Market in Chicago, IL w/ @chicofc) https://t.co/zYvkLownfz",NR,,,
631,Looking forward to seeing my farmers market family today as we have the last indoor market this spring. Woodstock Farmers Market,environment,indoor,,
632,"These will be available at Jefferson St. Farmers Market today from 430-730.

Moisturizing Body Sprays $10 

Formula #2 Toilet Sprays $5",NR,,Business,
633,A9. We just moved to a place that has one of the largest Farmers Markets in the country - the Dane County Farmers Market in @Visit_Madison #TBINChat https://t.co/6ipMwzkHQv,NR,,,
634,"Summer Fun, Concerts, Parades, Carnivals, Farmers Markets can all be found on this edition of the Mount Prospect Update. https://t.co/P41C8hYd2r",NR,,Business,
635,"Sean Wotherspoon & GUESS Jeans U.S.A.'s ""Farmers Market"" Concept Goes Global https://t.co/nx5gq3ziov",NR,,,
636,The Ravinia Farmers Market will celebrate its 40th season starting Wednesday in Jens Jensen Park in Highland Park https://t.co/4GretPtQsZ https://t.co/DC7Yme1kRh,NR,,,
637,#HealthTip: Start shopping at your local #FarmersMarket to find fresh fruits and veggies for #HealthyEating. https://t.co/mhY4Oudjya https://t.co/G3KZG0ejl7,NR,,Business,
638,@HampshireIL we are here and we have brought you FREE INTERNET FOR LIFE! Come check us out at the Hampshire Farmers Market from 8-12! #winchicago #GLM #EliteEntertainers https://t.co/tvhJc8XLSI,NR,,Business,
639,"my first real #bikechi northwest this year! Elston/Central/trail to Edgebrook, was barely in time for the farmers market",NR,,,
640,Checkout what's being whipped up by @TheChoppingBloc tonight at 6pm during the #LincolnSquare Thursday Evening Farmers Market. https://t.co/TyE91sc77z,NR,,Business,
641,"Mike Felten has a show on 06/24/2018 at 12:30 PM @ Wicker Park Farmers Market in Chicago, IL https://t.co/5wbUoC42IB #concert",NR,,Business,
642,#foodies #produce MT @Suntimes: It’s that time of year again when #farmersmarkets sprout up across #Chicago. Here’s a look at some of what you’ll find at neighborhood farm stands:  https://t.co/bXRsPLNBpL https://t.co/1oNPXs4wbp,NR,,Business,
643,Dropping money at the farmers market as if my eating habits might radically change over the next week like tf am I gonna do w 3 zucchini’s lbs,availability,zucchini,,
644,apparently the farmers market doesn’t end till 2 so we still get to head there before going to the arboretum!,NR,,,
645,"Better make sure the Grinch doesn't steal your strawberries for this weeks kids activities at the Farmers Market from 9:30am-10:30am!
#grinch #activity #kids https://t.co/i9q6plljx5",NR,,Business,
646,"Post-orgasm outside of a busy farmer’s market. I think I got away with it, but things got a little shifty when the lady parked next to me came back to her car [img] - #PublicSex #shameless - https://t.co/44sP4FtwMV https://t.co/UY00FArpC1",NR,,,
647,"Admissions Counselor Beth Emperor will be tabling tomorrow at the @Moody_Bible Graduate Fair, 10a-4p at 821 N. Wells Street! Later that day you'll find Beth at the Farmers Market in the Ravenswood Covenant Church parking lot from 4p-8p. We hope to see you there!",NR,,Business,
648,Come see us at the Hyde Park Farmers Market today until 1pm! https://t.co/erGZDMqkuS,NR,,Business,
649,Sprouts Farmers Market LEEDS the way in Pervious Building Materials #EmergencyVehicleAccess #Grasscrete #LEEDSilver #PerviousConcrete #PerviousPavementMortonIllinois #SproutsFarmersMarket #StoneFilled #StormWaterManagement https://t.co/Q1TZydFKva https://t.co/j7Wa0WYZqz,NR,,,
650,"RT edchoice """"'How much do farmers markets cost Walmart?' It’s a ridiculous question."" Find out what this means to the conversation around #publiced and #schoolchoice via https://t.co/UOcMGNOhbg""",economics,cost,,
651,"Do you have lunch plans? Stop by the SOAR Farmers Market at 12pm, noon for a Chef Demo with Chef Doug Wroble - and stick around for a taste of the dish! https://t.co/Q7qrdmDnno #ChicagoCityMarkets #EatLocal #OnlyInStreeterville https://t.co/YDE5FjwMGt",NR,,Business,
652,"Edgebrook Neighborhood Farmers Market this week! Find out who you'll see THIS Sat, 7/14, 9am-1pm! | Everyday Edgebrook / Blog https://t.co/Dy7iF5AH4r",NR,,,
653,"Last week for Mirai corn, this makes me sad! #Andersonville (@ Andersonville Farmers Market - @ecoaville in Chicago, IL) https://t.co/wxhf2W5dpE",NR,,,
654,"Check out this #event: Lincoln Square Farmers Market - Cooking Demo, live music, food,drinks: https://t.co/gs8NpMsygC #chicago2flat",NR,,Business,
655,"We love participating in the Riverside Farmers' Market each week! Thanks to Riverside Farmers' Market and Von Tarverdi for featuring us as ""Vendor of the Week"" this week! Market is each Wednesday (3pm-7pm) in Riverside, IL. https://t.co/1zIpc1dy7D",NR,,Business,
656,"What is your favorite farmers market?????

https://t.co/JVdlPPpJAc https://t.co/JVdlPPpJAc",NR,,,
657,"Starting fumbling with this thing between sets at the #farmersmarket yesterday. Random #words again to find a #melody for now. Kinda liking it. Also, listen to @telethonband cuz they… https://t.co/Xn52CvFvuH",environment,"sets, melody",,
658,"Come find the best our local farmers have to offer at the Highland Park Farmers Market today from 3 PM – 7:30 PM, at the Harvest Bible Chapel Parking Lot, 1731 Deerfield Road...https://t.co/pA7axY1nTe https://t.co/MrW2aet04Z",NR,,Business,
659,2018 Grayslake Farmers Market: https://t.co/a3oImz5lPf via @YouTube,NR,,,
660,Grandpa Bill's Gluten Free Bread will be at the Farmers' Market tomorrow morning with lots of great stuff. The market runs from 7:30 a.m. to noon. https://t.co/CEjSIHN5Ly,NR,,Business,
661,"Looking for homemade items? MCHENRY FARMERS MARKET on May 17, 2018 @ 4:30 - 8 PM https://t.co/t7mysS4i54",NR,,Business,
662,Testing out our new canopy for the farmers market!  #GordonHeat https://t.co/V0jNeJo8NX,environment,canopy,,
663,Did you know @GreenCityMarket has an app? You can pre-order all of your favorite farmers market goods! https://t.co/zF3qJeRDsY https://t.co/zF3qJeRDsY https://t.co/IE1jfJ88fE,NR,,Business,
664,Another beautiful day at the Downtown Elgin Farmers Market! #downtownelgin #ExploreElgin #ElginIL #farmersmarket https://t.co/aJzg6dBd5b,NR,,,
665,Tens of Thousands of People Are About to Lose the Ability to Buy Fresh Food at Farmers Markets https://t.co/0eYEyoHSSh via @ModFarm,economics,"buy, ability",,
666,"I'm at Dane County Farmers' Market in Madison, WI https://t.co/jCedLOe447",NR,,,
667,"Did you miss the Zumba Bash last Saturday? No worries, you can go this Thursday! Easy registration for a workout well worth it!
https://t.co/ARVEySylLh https://t.co/K99vLARRaB",NR,,Business,
668,We have Cinnamon Rolls at the Hyde Park Farmers Market today! Stop by and see me! @ The Hyde Park Farmers Market https://t.co/lB4FzOqpdN,NR,,Business,
